autor,partido,uf,discurso,data
MARCELO RAMOS,PL,AM,"Havendo número regimental, declaro aberta a 21ª reunião ordinária da Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de Previdência Social, estabelece regras de transição e disposições transitórias, e dá outras providências.  (Pausa.) Em apreciação o requerimento da Deputada Alice Portugal para votação nominal na inversão da ordem dos trabalhos apresentada à PEC 6/19. Inversão da ordem dos trabalhos apresentada pelo Deputado Beto Pereira. Defiro de ofício o requerimento da Deputada Alice Portugal de votação nominal. Encontra-se sobre a mesa requerimento de alteração da ordem de trabalhos de iniciativa do Deputado Beto Pereira, que passo a ler: Requerimento de inversão da ordem dos trabalhos. Requeremos, nos termos do art. 50, § 1º, do Regimento Interno da Câmara dos Deputados, a inversão da ordem dos trabalhos desta Comissão, para que seja apreciada na seguinte sequência: a) Ordem do Dia; b) Ata; c) Expediente. Sala das Comissões, 4 de julho de 2019 Deputado Beto Pereira Encaminhamento de votação. Com a palavra o Deputado Beto Pereira, para encaminhar a favor do requerimento, por 5 minutos, e, para contraditar, a Deputada Gleisi Hoffmann.",04/07/2019
BETO PEREIRA,PSDB,MS,"Nobre Presidente, o que faz com que nós tenhamos a iniciativa de apresentar este requerimento, para que nós possamos ter essa correlação que foi apresentada no texto do requerimento, é justamente para darmos celeridade e também uma dinâmica aos trabalhos desta Comissão. Nós tivemos ontem uma reunião que se arrastou até às 2 horas da manhã; estamos aqui presentes às 10 horas da manhã, já dando início novamente à votação; temos hoje pela frente a apreciação do voto apresentado pelo Deputado Samuel Moreira; posteriormente, os destaques que foram apresentados pelas bancadas e por Parlamentares. Então, nada mais justo Reunião de: 04/07/2019 e correto do que estabelecermos uma dinâmica mais célere para podermos dar aqui um rito que possa garantir no dia de hoje a votação de toda a PEC 6/19 pela Comissão. Era o que tinha a dizer, Sr. Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,"Com a palavra a Deputada Gleisi Hoffmann, para encaminhar contra o requerimento. V.Exa. tem de 5 minutos.",04/07/2019
GLEISI HOFFMANN,PT,PR,"Obrigada, Sr. Presidente. Eu queria começar reconhecendo, com exceção de ontem, é claro, a condução que V.Exa. tem tido nesta Comissão. Nós não tivemos, em nenhum momento de discussão, a alteração da Ordem do Dia. V.Exa. sempre cumpriu o que determina o Regimento: leitura da ata, expediente, Ordem do Dia. Eu gostaria de saber por que hoje nós inverteríamos essa ordem? Por que nós não começaríamos com a ordem correta que dispõe o Regimento? Qual é a pressa que nós temos para fazer esta votação de alterar a ordem dos trabalhos? Nós somos contra essa alteração. Aliás, Sr. Presidente, esta Comissão teria 40 reuniões para fazer a discussão da matéria Š 40 reuniões! Nós devemos estar na 25º. Pergunto de novo: qual é a pressa? Votar a reforma da Previdência vai colocar comida na mesa das pessoas? Vai colocar trabalho para as pessoas? Votar a reforma da Previdência vai dar renda para as pessoas? Não vai dar! Não vai botar comida na mesa do trabalhador! Não vai dar renda para as pessoas! Não vai dar emprego para as pessoas! O que nós vamos ter é a redução das aposentadorias. O que nós vamos ter é a dificuldade para o povo brasileiro se aposentar. O que nós vamos ter é a destruição do Regime Geral de Previdência Social. Por que estamos fazendo isto com pressa? V.Exas., quando votaram a reforma trabalhista aqui, prometeram que o Brasil teria emprego, que melhorariam as condições econômicas das empresas. Estamos com 14 milhões de desempregados, Sr. Presidente, 25 milhões de pessoas no subemprego, muita gente no emprego precário, e os desalentados, que deixaram de procurar emprego. Em que a reforma trabalhista, que solucionaria o problema do Brasil, melhorou o País? A Emenda Constitucional nº 95, de 2016, V.Exas. votaram na pressa, o teto, não deixando que as despesas com educação e saúde pudessem crescer. Disseram que isso ia resolver o problema do Orçamento e o problema fiscal. Em que que resolveu o problema do Orçamento e o problema fiscal? A saúde e a educação estão sem recursos. Nós estamos com a menor taxa de investimento que este País já teve. Como é que nós vamos gerar empregos se a construção civil está no chão? Quem é que emprega neste País, a não ser grande parte da construção civil? Prometeram entregar desenvolvimento votando isso. Entregaram o quê? A quebra da economia. O PIB vai crescer menos de 1%. E de novo vêm com a ladainha da reforma da Previdência: que a reforma da Previdência vai melhorar. Vão tirar direitos de novo! Vão baixar a pensão por morte para menos de um salário mínimo! É uma vergonha termos gente ganhando menos que um salário mínimo no País! Por que a pressa? Por que ontem foi o tratoraço aqui na Comissão? E hoje de novo! Nós vamos entregar para o povo brasileiro o quê? Eu gostaria de saber. Se a base do Governo aqui disser que votar a reforma da Previdência vai colocar comida na mesa do povo trabalhador, é possível que nós votemos. Mas o que vai acontecer é que vão retirar direitos. Por isso, Sr. Presidente, nós encaminhamos contrariamente Š contra! Š a esta proposta de alteração da ordem dos trabalhos. Não há necessidade de fazermos isto no atropelo. Não há necessidade de não discutirmos aprofundadamente a reforma da Previdência. Quero aqui dizer novamente: nós teríamos 40 reuniões para discutir a reforma. Estamos na 25ª. Quando é para tirar direitos do povo pobre, do trabalhador, a base do Governo é rápida, esta Casa é rápida; quando é para defender trabalhador, as coisas aqui demoram. Só quem tem  lobby  é que vem aqui fazer pressão. Onde está o pessoal que ganha um salário mínimo? Onde estão os aposentados que ganham até dois salários mínimos e que vão ser prejudicados? Esses não têm dinheiro para vir ao Congresso Nacional. Enquanto isso, esta Casa faz negociação com setores que têm recursos e toca a reforma. É um escândalo o que está acontecendo aqui! Quero deixar registrado: é um escândalo o que está acontecendo nesta Casa, a votação desta reforma da Previdência! É um dos piores projetos da história do Congresso Nacional, que vai responder ao povo brasileiro. O Partido dos Trabalhadores é contra esta reforma, é contra este projeto, portanto, é contra também o requerimento que altera a ordem dos trabalhos para apressar a votação.",04/07/2019
ALEXANDRE FROTA,PSL,SP,"Sr. Presidente, peço a palavra para contraditar, por favor. Reunião de: 04/07/2019",04/07/2019
MARCELO RAMOS,PL,AM,"Não! Ela já está contraditando, Deputado Alexandre Frota. Quem defendeu o requerimento foi o Deputado Beto Pereira. Mas eu vou já passar a palavra ao PSL, e V.Exa. vai poder usá-la. Para orientação de bancada. Como vota o PT?  (Pausa.) Como vota o PT?  (Pausa.) O Deputado José Guimarães ainda está sonolento.",04/07/2019
GLEISI HOFFMANN,PT,PR,O PT vota contrariamente ao requerimento.,04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Sr. Presidente, evidentemente, nós votamos contrariamente ao requerimento. É importante dizer que V.Exa. sempre pautou a sua conduta aqui pela prudência. Eu inicio a manhã desta quinta-feira, já que vamos entrar num enfrentamento grande por conta da nossa opinião sobre esta reforma, que só prejudica os pobres... A minha ponderação, ao orientar o voto contrário a este requerimento, é que V.Exa. mantenha a postura de prudência, sem atropelar e sem pressa. Nós da Oposição estamos dispostos a ficar aqui até de madrugada. Não há problema, mas dentro de tudo aquilo que determina o nosso Regimento. Não é preciso pressa nem gritaria para votar. Aqui o debate será lento, gradual e seguro, portanto, com muita transparência. Quem está de um lado e quem está do outro... (Desligamento automático do microfone.)",04/07/2019
MARCELO RAMOS,PL,AM,"Pode ter certeza disto, Deputado José Guimarães: nós vamos seguir o mesmo ritmo, respeitando as obstruções regimentais e, obviamente, tendo firmeza, quando necessário for. O PT vota não. Como vota o PSL?",04/07/2019
ALEXANDRE FROTA,PSL,SP,"Presidente, muito bom dia; bom dia a todos da Mesa. Espero que possamos ter aqui hoje um dia vitorioso como ontem. Quero lembrar que esta inversão que nós fizemos é extremamente regimental. Ela está aqui. Por isso o motivo daquele momento em que eu gostaria de falar com V.Exa. O PSL aprova o requerimento: sim.",04/07/2019
MARCELO RAMOS,PL,AM,O PSL vota sim. Como vota o PP?,04/07/2019
EVAIR VIEIRA DE MELO,PP,ES,"Sr. Presidente, Deputado Marcelo Ramos, nosso Relator Samuel Moreira, o Brasil espera de nós a agilidade necessária. Não há motivo nenhum para, nesta reta final, ficarmos postergando, debatendo coisas sem fundamento, dado o conteúdo e a competência da condução do nosso relatório. O PP quer liderar, junto com os partidos, a entrega da reforma justa e necessária de que o Brasil precisa e merece. Não cabe agora aqui ficarmos postergando o trabalho, porque neste momento o Brasil precisa de  (ininteligível). O PP, então, orienta o voto sim, Sr. Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,O PP vota sim. Eu peço à equipe técnica que aumente um pouco o volume do som.  (Pausa.) Como vota o PL?  (Agora melhorou.) Como vota o PL?,04/07/2019
GIOVANI CHERINI,PL,RS,"Sr. Presidente, eu acho que está muito coerente esta inversão de pauta, pois nós precisamos ir ao x da questão, porque aqui discutir ata, protelar... É lógico que faz parte... (O Sr. Presidente faz soar as campainhas.)",04/07/2019
GIOVANI CHERINI,PL,RS,"...faz parte do jogo a obstrução. Mas cabe a nós que queremos um Brasil melhor, que queremos mudança, que não temos medo de mudar... Nós não podemos ter medo da mudança. O futuro a Deus pertence. Nós temos que ter ousadia e coragem quando as coisas estão mal. Reunião de: 04/07/2019 Quando as coisas estão mal, é porque estão erradas. Então, a mudança da reforma da Previdência que nós estamos propondo vai com certeza resolver muitos problemas do Brasil, como emprego, investimento. Assim, o nosso partido, o Partido Liberal, vota pela inversão de pauta.",04/07/2019
MARCELO RAMOS,PL,AM,O PL vota sim. Como vota o PSD?,04/07/2019
DARCI DE MATOS,PSD,SC,Sr. Presidente...,04/07/2019
JOSÉ GUIMARÃES,PT,CE,"Sr. Presidente, é só para mudar a orientação: o PT orienta, em vez do voto não, obstrução.",04/07/2019
MARCELO RAMOS,PL,AM,"PT, obstrução.",04/07/2019
DARCI DE MATOS,PSD,SC,"Sr. Presidente, não poderia ser diferente: o PSD, nosso partido, quer o bem do Brasil. Nós adentramos ontem a madrugada, sob a liderança de V.Exa. e do nosso Relator. Hoje, se preciso for, vamos novamente até a madrugada e ao final de semana. Nós queremos trabalhar. Nós queremos o bem do Brasil. Nós precisamos mudar o País, ao contrário da Oposição, que não quer que o Brasil ande. Portanto, Sr. Presidente, pelo bem do Brasil, para que o País possa voltar a crescer e gerar empregos, votamos sim.",04/07/2019
MARCELO RAMOS,PL,AM,Como vota o MDB?  (Pausa.) Como vota o PSB?,04/07/2019
HEITOR SCHUCH,PSB,RS,"Sr. Presidente, o PSB vai votar não a este requerimento de inversão da ordem dos trabalhos, com a compreensão de que não é nenhum problema fazer a leitura da ata nem do expediente. Aliás, nós não começamos a construir a casa pelo telhado. E  a pressa é inimiga da perfeição . Os próprios Deputados que me antecederam aqui disseram que pode ser a votação hoje, na madrugada, no fim de semana. Então, eu acho que podemos seguir a ordem, como sempre se fez. Portanto, nós vamos votar não a esta inversão da ordem dos trabalhos.",04/07/2019
MARCELO RAMOS,PL,AM,O PSB vota não. Como vota o PRB?,04/07/2019
CLEBER VERDE,PRB,MA,"Sr. Presidente, o PRB orienta o voto não, porque entende que esta matéria já foi amplamente debatida, discutida e precisamos ir a voto. O PRB orienta o voto sim, Sr. Presidente.",04/07/2019
MARCELO RAMOS,PL,AM,O PRB vota sim. Como vota o PSDB?,04/07/2019
