autor,partido,uf,discurso,data,id_sessao
RODRIGO MAIA,DEM,RJ,"A lista de presença registra na Casa o comparecimento Š e eu agradeço ao Plenário Š de 505 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos. O Sr. Secretário procederá à leitura da ata da sessão anterior. Novo painel. Nesta sessão, só terá direito à palavra quem a usar respeitando o Regimento Interno da Casa, nem um segundo a mais, nem um segundo a menos, para nenhum Parlamentar. Peço ao Sr. Secretário que proceda à leitura da ata.",09/07/2019,188
DANIEL FREITAS,PSL,SC,"Pode haver cartazes em plenário, Sr. Presidente?",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Só um minuto, Deputado. Deputado José Guimarães, eu alertei, no início desta legislatura, que Atos da Mesa não permitem faixas em plenário. Então, peço que se respeite o direito de cada um dos Deputados e Deputadas que estão em plenário. Devolvo a palavra ao Deputado Gilberto Nascimento, antes reiterando ao Plenário que, se alguns Deputados não respeitarem o Regimento, os demais poderão também não querer respeitá-lo.",09/07/2019,188
GILBERTO NASCIMENTO,N/A,N/A,", servindo como 2º Secretário, continua a leitura da ata da sessão antecedente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Só um minuto, Deputado. Informo que essas placas que estão sendo levantadas não respeitam o Regimento e as decisões da Mesa. Se os partidos de esquerda não querem respeitar o Regimento, eu também poderei não respeitar o Regimento aqui de cima. O Deputado Gilberto Nascimento tem a palavra.",09/07/2019,188
ALEXANDRE FROTA,PSL,SP,"Eles precisam respeitar, Presidente.  (Manifestação no plenário: Reforma, não! Reforma, não! Reforma, não!)",09/07/2019,188
GILBERTO NASCIMENTO,N/A,N/A,"servindo como 2º Secretário, conclui a leitura da ata da sessão antecedente, a qual é, sem observações, aprovada. (Não há expediente a ser lido.)",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"A lista de presença registra o comparecimento de 280 Senhoras Deputadas e Senhores Deputados. Passa-se à apreciação da matéria sobre a mesa e da constante da Ordem do Dia. PROPOSTA DE EMENDA À CONSTITUIÇÃO Nº 6-C, DE 2019",09/07/2019,188
PODER EXECUTIVO,N/A,N/A,"Discussão, em primeiro turno, da Proposta de Emenda à Constituição n° 6-C, de 2019, que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências; tendo parecer da Comissão de Constituição e Justiça e de Cidadania, pela admissibilidade, ressalvada a inadmissibilidade quanto aos seguintes dispositivos: a) art. 1º, na parte em que modifica o § 2º do art. 109 da Constituição, concernente à extinção do foro do Distrito Federal para a propositura de ações contra a União; b) art. 2º, na parte em que acrescenta o § 4º ao art. 10 do Ato das Disposições Constitucionais Transitórias, para dispor sobre o fim do pagamento da indenização compensatória e do depósito do fundo de garantia do tempo de serviço (FGTS), a partir da concessão da aposentaria; c) a expressão de iniciativa do Poder Executivo federal, constante no art. 1º da PEC, na parte em que altera o art. 40, § 1º; art. 201, §§ 1º e 10; e 201-A, todos da Constituição Federal; bem como no art. 3º, § 3º, e no art. 5º, § 1º, do Capítulo III da PEC; e no art. 18, § 5º, do Capítulo V da PEC; e a expressão de iniciativa do Poder Executivo constante no art. 1º da PEC, na parte em que altera o art. 42, § 2º, da Constituição Federal; d) art. 1º, na parte em que altera o art. 40, § 2º, III, para retirar do texto constitucional a definição da idade para a aposentadoria compulsória do servidor público, transferindo a disciplina da matéria para Lei Complementar (Relator: Dep. Delegado Marcelo Freitas); e da Comissão Especial, pela admissibilidade das emendas e, no mérito, pela aprovação, com substitutivo, desta e das Emendas nºs 27, 34, 36, 50, 59, 79, 89, 93, 100, 103, 111, 118, 119, 135, 141, 159, 172, 181, 182, 184, 198, 225, 230, 243, 249, 255, 267 e 277; pela aprovação parcial das Emendas nºs 1, 3, 5, 18, 20, 25, 28, 29, 30, 31, 32, 37, 45, 46, 47, 51, 52, 58, 60, 64, 67, 68, 69, 70, 71, 73, 76, 77, 81, 82, 85, 86, 88, 90, 92, 96, 97, 102, 104, 106, 107, 112, 115, 116, 134, 136, 137, 140, 142, 146, 149, 150, 158, 162, 164, 171, 174, 175, 177, 178, 183, 187, 189, 190, 191, 192, 194, 195, 197, 199, 209, 216, 218, 219, 224, 228, 229, 231, 232, 233, 234, 238, 239, 250, 251, 253, 256, 257, 260, 261, 262 e 263, e pela rejeição das Emendas nºs 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 26, 33, 35, 38, 39, 40, 41, 42, 43, 44, 48, 49, 53, 54, 55, 56, 57, 61, 62, 63, 65, 66, 72, 74, 75, 78, 80, 83, 84, 87, 91, 94, 95, 98, 99, 101, 105, 108, 109, 110, 113, 114, 117, 126, 127, 128, 129, 130, 131, 132, 133, 138, 139, 143, 144, 145, 147, 148, 151, 156, 157, 161, 163, 170, 173, 176, 180, 185, 186, 188, 193, 196, 208, 210, 211, 212, 214, 215, 217, 235, 236, 240, 241, 258, 264, 265, 268 e 270 Š Relator: Dep. Samuel Moreira, que apresentou Complementação de Voto e, em decorrência da apreciação de destaques, concluída em 5 de julho de 2019, Reformulação de Voto. Os Deputados Chico D'Angelo; Henrique Fontana, Gleisi Hoffmann, José Guimarães, Pedro Uczai, Carlos Veras, Jorge Solla, Paulo Teixeira e Rubens Otoni; e Ivan Valente, Luiza Erundina e Sâmia Bomfim apresentaram votos em separado. Há requerimento sobre a mesa: Requerimento de retirada de pauta Senhor Presidente: Requeremos, nos termos do parágrafo único do art. 83 do Regimento Interno, a retirada da PEC 6/2019, constante da pauta da presente sessão. Sala das Sessões, Para falar a favor, tem a palavra a Deputada Alice Portugal.",09/07/2019,188
ALICE PORTUGAL,B,BA,"Srs. Deputados e Sras. Deputadas, está aberta a jornada de lutas que definirá se o Brasil estará na lista dos países mais injustos do mundo com o seu povo. Não é possível que troquemos nesta Casa qualquer benesse ou não é possível que uma parte desta Casa troque por emendas ou por cargos a garantia mínima alimentar do trabalhador e da trabalhadora, ao encarar a velhice, ao encarar a doença, ao encarar a perda do provedor ou da provedora da família e faça com esse trabalhador seja efetivamente humilhado e injustiçado por uma reforma fiscalista, regressiva nos direitos e que fará do trabalhador e da trabalhadora alguém sem futuro, alguém sem perspectiva. Esta é a reforma da Previdência do Governo Bolsonaro, um governo que é uma fraude, e uma fraude revelada no áudio do Procurador Dallagnol, uma fraude revelada nos textos que o The Intercept Brasil mostra para todo o mundo, uma fraude revelada nas  fake news e  no controle de dados que enganaram a Nação brasileira, que tinha sede de mudança. A partir de uma campanha sórdida que levou ao  impeachment  de uma Presidenta honesta, eleita, este Governo fez uma jornada de contração democrática e levou o povo a esse engano. Pois este Governo, que é uma fraude, é que propõe esta reforma da Previdência, o texto mais cruel dos últimos tempos a percorrer esta Casa, um texto que pune os mais pobres e pune as mulheres, em especial as mulheres negras. E me dirijo às mulheres baianas, às lavadeiras, às empregadas domésticas, às professoras. Este texto, lamentavelmente, faz com que o pensionista ou a pensionista receba 50% da pensão, com acréscimo de 10% por dependente, o que levará inexoravelmente a uma pensão ínfima de 500 reais, de 600 reais, para a manutenção alimentar dessas famílias. A reforma da Previdência deste Governo fraudulento dispensa a democracia, porque o trator está ligado neste plenário. Nós conclamamos à luta o povo brasileiro, os trabalhadores brasileiros, os servidores públicos, que foram transformados em páreas da sociedade, como se nenhuma contribuição dessem à manutenção do Estado brasileiro, sendo que são eles que o põem de pé. Saibam, senhoras e senhores, que 86% dos servidores públicos no Brasil ganham no máximo 2.600 reais. O topo da carreira é pequeno, mas também é necessário. Eles contribuem, desde muito, com 11% do salário para a sua aposentadoria. E a reforma do sistema previdenciário dos servidores já foi feita em 2003. Agora querem fazer com que eles, ao se aposentarem, se desliguem do serviço público para garantir que não tenham paridade nem integralidade. E o que dizer dos policiais rodoviários federais, dos policiais federais e dos policiais civis? Só as Forças Armadas foram garantidas por este Governo militarizado, autoritário, conservador nos costumes e absolutamente ultraliberal na economia. V.Exas. vão votar contra as viúvas e os órfãos. Senhores cristãos, ergam a cabeça diante das iniquidades! Conclamo a todos que façamos, sim, uma grande luta pela retirada de pauta desta matéria absurda de um Governo que é uma fraude, que dispensa a democracia e que arrasa com os direitos dos mais pobres. É isso que vamos começar a debater nesta noite. Por isso erguemos alto a insígnia:  Não à reforma da Previdência! Retirada de pauta já!  (Palmas.)",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Para encaminhar contra, tem a palavra ao Deputado Giovani Cherini. (Pausa.)",09/07/2019,188
CARLOS ZARATTINI,PT,SP,"Tenho uma questão de ordem, Sr. Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Há um orador na tribuna, Deputado. Quando ele terminar, eu concedo a palavra a V.Exa. Vamos liberar a tribuna.  (Pausa.) Por favor, liberem a tribuna.  (Pausa.) Obrigado. Tem a palavra o Deputado Giovani Cherini, para falar contra o requerimento.",09/07/2019,188
GIOVANI CHERINI,PL,RS,"Sr. Presidente, Sras. e Srs. Parlamentares, todos nós estamos desde fevereiro debatendo aqui a reforma da Previdência. Dizer aqui que faltou tempo, na verdade, é uma protelação que nós, logicamente, respeitamos, mas chega a hora do voto da maioria. E a maioria quer votar esta proposta e quer aprová-la, ainda que não seja uma ótima reforma da Previdência. Todos nós sabemos que essa reforma ainda é uma espécie de remendo no sistema todo. Nós precisávamos melhorar ainda mais essa reforma. Mas o Relator ouviu todas as forças do Brasil, ouviu todos aqueles interessados nesse grande tema. Hoje nós percebemos no Brasil, pelo menos eu percebo no meu Rio Grande do Sul, que 60% são a favor e 40% são contra. Mas não se trata de chegar aqui e dizer:  Não, estamos fazendo a melhor coisa que tinha para o País.  Na verdade, é um sacrifício, sim, que toda a sociedade brasileira vai ter que fazer. Sabem para quê? Para que nós possamos, de forma altruísta, fazer com que os nossos jovens um dia possam se aposentar e fazer com que aqueles que estão aposentados ao nosso redor possam receber seus salários. O que acontece hoje no Rio Grande do Sul? Os funcionários públicos não estão recebendo sequer os seus salários. Imaginem se nós não fizermos a reforma da Previdência! Nós vamos repetir esse mesmo problema de alguns Estados brasileiros que sequer pagam os salários dos funcionários. Vejam bem a situação. É por isso que eu defendo que Estados e Municípios façam parte dessa reforma. No Rio Grande do Sul há 234 mil matrículas ativas e quase 300 mil matrículas inativas. É um Estado completamente falido. É uma pena que nessa reforma tenhamos de deixar fora Estados e Municípios. Eu vou continuar, até o último instante, defendendo o meu Rio Grande do Sul. Estava aqui o nosso Governador Eduardo Leite, defendendo a participação, defendendo que Estados e Municípios também estejam nessa reforma. É claro que nós fizemos algumas modificações e que o Relator Samuel Moreira, junto com o Presidente Marcelo Ramos, fizeram aquilo que dava para fazer: retirar os trabalhadores rurais da reforma, melhorar a questão da capitalização, tirar o BPC, melhorar a situação dos professores. Nós, do Partido Liberal, ainda vamos trabalhar para melhorar mais a situação dos professores do nosso Brasil. Por isso nós somos contra qualquer tipo de protelação. Nós temos de votar logo a reforma da Previdência. O País inteiro, o mercado, os meios de comunicação, todos estão percebendo que esse fator é fundamental para novos investimentos, para gerar emprego e renda neste País. Não dá mais! O País parou! E estão esperando que nós todos aqui façamos a nossa parte e votemos a favor dessa reforma, com algumas modificações. Como eu disse antes, o nosso partido só tem uma exceção à regra, que se chama professor, que se chama educação. Portanto, Sr. Presidente, eu participei de todas as reuniões e vou ficar aqui até o último instante, porque eu quero ver o meu País melhor, eu quero ver as nossas gerações futuras, através do altruísmo de alguns aqui, que poderão se destacar, mas o futuro irá dizer:  Vocês estavam certos, vocês trabalharam certo, vocês não protelaram, vocês foram a favor do Brasil e não pensaram só em voto, não pensaram só em novas eleições. Sr. Presidente, nós queremos votar logo. Nós queremos que essa reforma seja aprovada e, de preferência, se fosse aprovada hoje para nós seria ótimo, porque fizemos o nosso tema de casa, cumprimos a nossa missão pelo Brasil, pelo Rio Grande do Sul e pelos Estados que tanto precisam dessa reforma. Portanto, nós somos contra qualquer tipo de prorrogação de sessão ou coisa que o valha.",09/07/2019,188
ALICE PORTUGAL,B,BA,O PCdoB retira o requerimento.,09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Não, já o encaminhou.",09/07/2019,188
ALICE PORTUGAL,B,BA,"Questão de ordem, Presidente. Existe questão de ordem que consolida essa possibilidade.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Já encaminhou, Deputada. Orientação de bancada. Como vota o Bloco do PP? Deputado Mário Negromonte Jr., como vota o Bloco do PP?",09/07/2019,188
MÁRIO NEGROMONTE JR.,PP,BA,"O PP vota não, Sr. Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o PSL?,09/07/2019,188
FILIPE BARROS,PSL,PR,Vota não.,09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o PL?  (Pausa.) Como vota o PRB?,09/07/2019,188
LUIZÃO GOULART,PRB,PR,"O PRB, Sr. Presidente, vota não ao requerimento de retirada.",09/07/2019,188
MARCELO RAMOS,PL,AM,"O PL vota não, Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o PSDB?,09/07/2019,188
CELSO SABINO,PSDB,PA,"O PSDB vota não, Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Como vota o Avante?  (Pausa.) Como vota o PT?,09/07/2019,188
CARLOS ZARATTINI,PT,SP,"Nós temos uma questão de ordem, Sr. Presidente. Precede. O senhor disse que ia conceder após terminar a fala do orador.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Não, o que eu disse é que o requerimento não pode mais ser retirado porque já está no encaminhamento.",09/07/2019,188
CARLOS ZARATTINI,PT,SP,"Antes, nós pedimos uma questão de ordem, e V.Exa. me pediu para esperar.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Leia a questão de ordem, Deputado. Qual é a questão de ordem?  (Pausa.)",09/07/2019,188
TADEU ALENCAR,PSB,PE,"Sr. Presidente, eu tenho uma questão de ordem que não tem nada a ver com isso. Questão de ordem com base no § 5º do art. 202 do Regimento c/c o art. 280, §§ 1º e 4º do Regimento Interno da Câmara dos Deputados. O § 5º do art. 202 diz o seguinte:  Após a publicação do parecer e interstício de duas sessões, a proposta será incluída na Ordem do Dia . O § 1º do art. 280 diz:   Exclui-se do cômputo o dia ou sessão inicial e inclui-se o do vencimento . Como não houve sessão na sexta-feira, o cômputo do dia inicial é a sessão da segunda-feira, portanto, como prevê o § 1º, a sessão de hoje é a primeira sessão a ser contada. E o § 4º diz também:  A contagem do prazo a que se refere o § 3º será apurada uma única vez no dia em que ocorrer a sessão ou sessões . Então, requeiro a V.Exa. o cancelamento da Ordem do Dia, já que não foi cumprido o interstício de duas sessões, como prevê o Regimento da Câmara dos Deputados.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Indefiro a sua questão de ordem, Deputado. Como vota o NOVO?  (Pausa.)",09/07/2019,188
ALICE PORTUGAL,B,BA,O PCdoB retirou o requerimento...,09/07/2019,188
RODRIGO MAIA,DEM,RJ,Não retirou. Faça a questão de ordem.,09/07/2019,188
ALICE PORTUGAL,B,BA,"Há consolidação regimental, por questão de ordem anterior, e V.Exa. sabe disso, Sr. Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Vai fazer questão de ordem ou não?,09/07/2019,188
ALICE PORTUGAL,B,BA,Temos o direito de retirar.,09/07/2019,188
CARLOS ZARATTINI,PT,SP,"Essa questão de ordem é baseada no parágrafo único do art. 130 do Regimento Interno, que diz:  O Presidente da Câmara devolverá à Comissão o parecer que contrarie as disposições regimentais...,  e o art. 25 do Relatório da Comissão é absolutamente inconstitucional, porque, no seu § 3º, ele considera nula a aposentadoria que tenha sido concedida ou que venha a ser concedida por Regime Próprio de Previdência com contagem recíproca do Regime Geral de Previdência Social. De acordo com o art. 5º da Constituição Federal, não pode nenhum dispositivo legal anular qualquer concessão de benefício, seja pelas vias administrativas ou pelas vias legais... (Desligamento automático do microfone.)",09/07/2019,188
CELSO SABINO,PSDB,PA,"Para contraditar, Presidente.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Acabaram os 3 minutos. Eu vou responder à sua questão de ordem, Deputado Carlos Zarattini.",09/07/2019,188
ALICE PORTUGAL,B,BA,"Sr. Presidente, questão de ordem.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,Se eu não puder responder à questão de ordem... É um de cada vez e V.Exa. já falou por 3 minutos.,09/07/2019,188
CELSO SABINO,PSDB,PA,"Para contraditar, Presidente.",09/07/2019,188
CARLOS ZARATTINI,PT,SP,"Só para concluir, esse art. 25, § 3º, é absolutamente inconstitucional. Nós não poderíamos votar. Esse relatório tem que ser devolvido à Comissão para que ela retire o artigo absolutamente inconstitucional.",09/07/2019,188
RODRIGO MAIA,DEM,RJ,"Deputado, eu vou responder à sua questão de ordem, porque esse tema é muito importante, não apenas pela questão regimental, mas também pelo mérito. Primeiro, quem decidiu essa questão foi o Plenário da Comissão e agora será o Plenário da Câmara. Segundo, esclareço ao Plenário o que significa esse mérito. O Tribunal de Contas da União, suprimindo uma prerrogativa do Legislativo, decidiu que a magistratura poderá contar prazo mesmo sem ter contribuído com a OAB, ratificando esse prazo de tempo de serviço para a aposentadoria. Esse é o mérito da matéria. O TCU legislou em nome da Câmara dos Deputados, e o Relator, do meu ponto de vista, de forma correta, resolve esse problema em relação a Regime Próprio e a Regime Geral. Eu só estou dando esse esclarecimento porque muitas pessoas não sabem o que aconteceu. O que vale para V.Exa. é o indeferimento em relação ao seu pleito, já que essa é uma decisão que caberá ao Plenário da Câmara dos Deputados. Orientação de bancada. Como vota o PSDB?  (Pausa.)",09/07/2019,188
ALICE PORTUGAL,B,BA,"Questão de ordem, Presidente, art. 192.",09/07/2019,188
