autor,partido,uf,discurso,data,id_sessao
Rodrigo Maia,DEM,RJ,A lista de presença registra na Casa o comparecimento de 506 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos. A Sra. Secretária procederá à leitura da ata da sessão anterior.,10/07/2019,191
GEOVANIA DE SÁ,Secretária,NA,"servindo como 2ª Secretária, procede à leitura da ata da sessão antecedente, a qual é, sem observações, aprovada.",10/07/2019,191
NA,NA,NA,(Não há expediente a ser lido.),10/07/2019,191
ANÍBAL GOMES,DEM,CE,"Presidente, o Deputado Aníbal Gomes votou, nas últimas votações, com o Partido Democratas.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Obrigado.Tem a palavra o Deputado Rui Falcão. (Pausa.),10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,"O que foi isso? Que ata rápida foi essa. Eu achei que havia acontecido várias coisas. As minhas falas, mesmo, não estão relatadas de maneira ipsis litteris.",10/07/2019,191
Rodrigo Maia,DEM,RJ,É porque na hora de transcrever foi muita emoção.,10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,"Eu estou pedindo, Presidente, que a ata seja completada com os detalhes. Por exemplo, na última fala do Deputado Marcelo Nilo, ele foi aplaudido aqui por boa parte deste Plenário.",10/07/2019,191
Rodrigo Maia,DEM,RJ,Mas está escrito aqui que ele foi aplaudido.,10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,A ata não é uma ata. É uma síntese.,10/07/2019,191
Rodrigo Maia,DEM,RJ,"Está escrito aqui que a sua camisa é: Não à reforma, está tudo aqui.",10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,Ela é customizada à moda baiana.,10/07/2019,191
Rodrigo Maia,DEM,RJ,V.Exa. não prestou atenção na bela leitura da Deputada Geovania.,10/07/2019,191
ALICE PORTUGAL,PCdoB,BA,Não à reforma da Previdência. Que conste da próxima ata.,10/07/2019,191
CHRISTINO AUREO,Bloco/PP,RJ,"Presidente, o Deputado Christino Aureo votou com o partido na última votação.",10/07/2019,191
Rodrigo Maia,DEM,RJ,"Está bem.Tem a palavra o Deputado Rui Falcão, por 3 minutos.",10/07/2019,191
