data,autor,partido,uf,discurso
02/07/2019,MARCELO RAMOS,PL,AM,"Havendo número regimental, declaro aberta a 19ª Reunião Extraordinária da Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de Previdência Social, estabelece regras de transição e disposições transitórias e dá outras providências. Encontra-se sobre a mesa requerimento de alteração da ordem dos trabalhos, de autoria dos Deputados Ivan Valente e Sâmia Bomfim. Manifesto-me sobre o requerimento de inversão da ordem dos trabalhos. Decisão. Inversão da ordem dos trabalhos: devolvo aos autores o requerimento de inversão da ordem dos trabalhos que pretende colocar o expediente antes da ata por considerá-lo antirregimental, tendo em vista que o § 1º do art. 50 do Regimento Interno prevê expressamente que a ordem estabelecida no  caput  do artigo poderá ser alterada para tratar de matéria em regime de urgência, de prioridade ou de tramitação ordinária. Nesse sentido, o único requerimento cabível para a inversão da ordem dos trabalhos é o da seguinte ordem: 1) Ordem do Dia; 2) Ata; 3) Expediente. Ademais, é da lógica do processo legislativo priorizar a matéria propriamente dita e não elementos administrativos ou informativos da reunião, como é o caso da ata e do expediente. Corrobora ainda esse entendimento a Questão de Ordem nº 45, de 2007, que afirma ser possível a inversão da ordem dos trabalhos para que as matérias que figuram na Ordem do Dia sejam apreciadas antes da data. Diante do exposto, fica prejudicado o requerimento de votação nominal do Deputado Henrique Fontana sobre essa matéria. Encontra-se sobre a mesa requerimento do Deputado André Figueiredo, subscrito pelo Deputado Henrique Fontana, que requer a votação nominal do requerimento de inversão da ordem dos trabalhos."
02/07/2019,ALEXANDRE FROTA,PSL,SP,"Presidente, eu quero retirar."
02/07/2019,MARCELO RAMOS,PL,AM,Não. É do Deputado André Figueiredo.
02/07/2019,SÂMIA BOMFIM,PSOL,SP,"Questão de ordem, Sr. Presidente."
02/07/2019,MARCELO RAMOS,PL,AM,"Vou já conceder a V.Exa. a palavra para uma questão de ordem. Reunião de: 02/07/2019 Diante da manifestação do Deputado Alexandre Frota, retirando o requerimento de alteração da ordem dos trabalhos, está prejudicado o requerimento de votação nominal do Deputado André Figueiredo, subscrito pelo Deputado Henrique Fontana. Para uma questão de ordem, tem a palavra a Deputada Sâmia Bomfim."
02/07/2019,SÂMIA BOMFIM,PSOL,SP,"Obrigada, Presidente. Eu gostaria de fazer uma observação a respeito do requerimento que nós apresentamos, porque o Regimento dispõe que essa ordem poderá ser alterada pela Comissão, por requerimento de qualquer dos seus membros, para tratar da matéria em regime de urgência. E o nosso pedido é justamente para que haja uma inversão e, nele, a Ordem do Dia é priorizada com relação ao expediente, ou seja, seria primeiro a leitura da ata, em seguida, a Ordem do Dia, e, em terceiro lugar, o expediente. É por isso que, na nossa leitura, não faz sentido ser rejeitado o nosso requerimento. Eu gostaria de pedir a V.Exa. que leve adiante esse nosso requerimento para que possamos votá-lo e, caso, ele seja rejeitado, continuemos nossa discussão, enfim, da maneira como a Comissão melhor entender. Mas eu gostaria de levá- lo adiante, tendo em vista que isso está de acordo com o que estabelece o art. 50, c/c o art. 55, que trata da questão de ordem que fiz a respeito da inversão da ordem da pauta. Obrigada, Presidente."
02/07/2019,MARCELO RAMOS,PL,AM,"Deputada Sâmia, há precedentes dessa matéria na discussão na CCJ, quando do debate na CCJ. Há um entendimento, também através de uma questão de ordem, de que só cabe a inversão da pauta para iniciar com a Ordem do Dia. Há uma decisão da Mesa, e eu confirmo essa decisão da Mesa. Obviamente, é facultado a V.Exa. o recurso regimental, que é feito ao Presidente da Câmara. Tem a palavra o Deputado Henrique Fontana."
02/07/2019,HENRIQUE FONTANA,PT,RS,"Obrigado, Presidente. Eu não sei se é exatamente este o momento, mas como poderíamos eventualmente iniciar os trabalhos e a apresentação do relatório, eu quero primeiro pedir a leitura da nossa ata da reunião anterior. Evidentemente, nós vamos falar com toda franqueza aqui. Temos contrariedades profundas com o tipo de mudanças que se quer fazer na Previdência do País, nas aposentadorias. Vamos, de maneira civilizada, mas firme Š tenho certeza de que, pela sua condução como foi até agora, será assim Š, vamos disputar cada brecha que tivermos para ganharmos tempo no sentido de convencer o Relator a retirar do relatório algumas questões fundamentais, das quais falaremos a seguir. Mas eu peço a leitura da ata anterior e a sua distribuição."
02/07/2019,IVAN VALENTE,PSOL,SP,"Eu peço a anterior distribuição da ata para os membros, Sr. Presidente."
02/07/2019,MARCELO RAMOS,PL,AM,"O requerimento de leitura da ata deve ser acatado, de ofício, pela Mesa. Portanto, a ata será lida e será distribuída. Ela já está disponível ali na caixinha, Deputado Ivan Valente, pois V.Exa. se manifestou quanto a isso. Em apreciação a Ata da 18ª Reunião, realizada no dia 26 de junho, cujas cópias estão à disposição dos Srs. Membros. Eu mesmo farei a leitura da ata: Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências. 56ª Legislatura - 1ª Sessão Legislativa Ordinária. Ata da 18ª Reunião Ordinária, realizada em 26 de junho de 2019. Às nove horas e cinquenta e oito minutos do dia vinte e seis de junho de dois mil e dezenove, reuniu-se a Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de Previdência Social, estabelece regras de transição e disposições transitórias, e dá outras providências, no Anexo II, Plenário 1 da Câmara dos Deputados, com a PRESENÇA dos(as) Senhores(as) Deputados(as) Marcelo Ramos - Presidente; Silvio Costa Filho - Vice-Presidente; Samuel Moreira - Relator; Alex Manente, Alexandre Frota, Alice Portugal, Aliel Machado, André Figueiredo, Arthur Oliveira Maia, Beto Pereira, Bilac Pinto, Capitão Alberto Neto, Capitão Wagner, Carlos Veras, Cleber Verde, Daniel Freitas, Daniel Trzeciak, Darci de Matos, Darcísio Perondi, Delegado Éder Mauro, Dr. Frederico, Fernando Rodolfo, Giovani Cherini, Gleisi Hoffmann, Greyce Elias, Guilherme Mussi, Heitor Freire, Heitor Schuch, Henrique Fontana, João Marcelo Souza, Joenia Wapichana, Léo Moraes, Lídice da Mata, Lucas Vergilio, Paulo Ganime, Paulo Ramos, Professor Israel Batista, Reinhold Stephanes Junior, Sâmia Bomfim, Valtenir Pereira e Vinicius Poit - Titulares; Adriana Ventura, Alan Rick, Cezinha de Madureira, Chico D'Angelo, Danilo Reunião de: 02/07/2019 Cabral, Diego Garcia, Eduardo Costa, Eduardo Cury, Evair Vieira de Melo, Fábio Henrique, Flaviano Melo, Geninho Zuliani, Guilherme Derrite, Ivan Valente, João Campos, José Guimarães, Lafayette de Andrada, Luiza Erundina, Marco Bertaiolli, Otoni de Paula, Pastor Eurico, Paulo Azi, Paulo Teixeira, Perpétua Almeida, Rodrigo Coelho, Rodrigo de Castro, Rubens Otoni, Tiago Mitraud e Vinicius Carvalho - Suplentes.  Compareceram também os Deputados Afonso Florence, Alencar Santana Braga, Alessandro Molon, André Janones, Arlindo Chinaglia, Aureo Ribeiro, Benedita da Silva, Beto Faro, Bohn Gass, Carlos Henrique Gaguim, Célio Moura, Charlles Evangelista, Chiquinho Brazão, Christino Aureo, Coronel Chrisóstomo, Coronel Tadeu, Daniel Almeida, Delegado Marcelo Freitas, Erika Kokay, Flávia Arruda, Fred Costa, Helder Salomão, Idilvan Alencar, Jandira Feghali, João Roma, Joseildo Ramos, Liziane Bayer, Luis Miranda, Luiz Lima, Marcel Van Hattem, Márcio Biolchi, Marcon, Maria do Rosário, Marreca Filho, Nelson Pellegrino, Nivaldo Albuquerque, Orlando Silva, Padre João, Paulão, Paulo Guedes, Pinheirinho, Reginaldo Lopes, Renildo Calheiros, Sóstenes Cavalcante, Tadeu Alencar, Ted Conti, Túlio Gadêlha, Weliton Prado e Zeca Dirceu, como não-membros. Deixaram de comparecer os Deputados Felipe Francischini, Filipe Barros, Jerônimo Goergen, Jorge Solla, Marcelo Moraes, Paulo Eduardo Martins, Pedro Paulo e Ronaldo Carletto. Abertura: Havendo número regimental, o Presidente declarou abertos os trabalhos e submeteu à apreciação a Ata da décima sétima reunião, realizada no dia vinte e cinco de junho de dois mil e dezenove. O Deputado Paulo Teixeira solicitou a dispensa da leitura da Ata. Em votação, a Ata foi aprovada sem restrições. Expediente: O Presidente deu como lido o seguinte expediente, cujas cópias poderiam ser obtidas na Secretaria da Comissão: Ofício nº 175/2019, da Deputada Federal Professora Dorinha Seabra Rezende, Coordenadora-Geral dos Direitos da Mulher, com sugestões ao Substitutivo do Relator; Interpelação Extrajudicial, da Presidente da Auditoria Cidadã da Dívida, Maria Lucia Fattorelli Carneiro, acerca de aspectos da PEC 6/2019; Ofício nº 137/2019, da Presidência da Assembleia Legislativa do Mato Grosso do Sul, com convite para o Seminário Regional da Reforma da Previdência promovido por aquela Assembleia; Cartas da Associação de Professores Aposentados do Magistério Público do Estado de São Paulo Š APAMPESP, com sugestões à PEC 6/2019; Ofício nº 753/2019, da Câmara Municipal da Estância de Bragança Paulista, encaminhando a Moção nº 36/2019; Memorando Circular nº 1/2019, do Deputado Federal Coronel Tadeu Lemos, solicitando apoio aos destaques da PEC 6 que tratam dos profissionais de segurança pública; Ofício Circular nº 15/2019, do Movimento Nacional dos Servidores Públicos Aposentados e Pensionistas Š MOSAP, encaminhando o documento ﬁEm síntese Œ Por que extinguir a contribuição previdenciária?ﬂ, e a nominata da Diretoria do Instituto MOSAP. Ordem do Dia: A - Proposições Sujeitas à Apreciação do Plenário: Disposições Especiais 1 - Proposta de Emenda à Constituição nº 6/2019 - do Poder Executivo - (OF 13/2019) - que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências. Relator: Deputado Samuel Moreira. null Parecer: pela admissibilidade jurídica e legislativa das emendas oferecidas à PEC em exame, e, no mérito, pela rejeição das Emendas nºs 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 33, 35, 38, 39, 40, 41, 42, 43, 44, 48, 49, 51, 53, 54, 55, 56, 57, 58, 61, 62, 63, 65, 66, 72, 74, 75, 78, 79, 80, 83, 84, 85, 87, 90, 91, 92, 94, 95, 97, 98, (..), 101, 105, 109, 110, 112, 113, 114, 117, 126, 127, 128, 129, 130, 131, 132, 133, 138, 143, 144, 145, 147, 148, 151, 156, 157, 161, 163, 170, 171, 173, 176, 180, 183, 185, 186, 188, 192, 193, 196, 208, 209, 210, 211, 212, 214, 215, 217, 232, 235, 236, 240, 241, 257, 258, 261, 263, 264, 265, 268 e 270, pela aprovação integral das Emendas nºs 27, 36, 50, 59, 89, 93, 100, 103, 106, 108, 111, 118, 119, 135, 141, 159, 172, 174, 181, 182, 184, 198, 218, 224, 225, 229, 230, 231, 243, 249, 255, 256, 267 e 277, pela aprovação parcial das Emendas nºs 1, 3, 5, 18, 25, 28, 29, 30, 31, 32, 34, 37, 45, 46, 47, 52, 60, 64, 67, 68, 69, 70, 71, 73, 76, 77, 81, 82, 86, 88, 96, 102, 104, 107, 115, 116, 134, 136, 137, 139, 140, (...), 146, 149, 150, 158, 162, 164, 175, 177, 178, 187, 189, 190, 191, 194, 195, 197, 199, 216, 219, 228, 233, 234, 238, 239, 250, 251, 253, 260 e 262, e pela aprovação da Proposta de Emenda à Constituição nº 6, de 2019, com substitutivo. O Presidente anunciou a continuação da discussão. Discutiram a matéria: Dep. Paulo Teixeira (PT-SP), Dep. Sóstenes Cavalcante (DEM-RJ), Dep. Nelson Pellegrino (PT-BA), Dep. Célio Moura (PT- TO), Dep. Gleisi Hoffmann (PT-PR), Dep. Joseildo Ramos (PT-BA), Dep. Benedita da Silva (PT-RJ), Dep. Renildo Calheiros (PCdoB-PE), Dep. Zeca Dirceu (PT-PR), Dep. Maria do Rosário (PT-RS), Dep. Marcon (PT-RS), Dep. Bohn Gass (PT-RS), Dep. Paulo Azi (DEM-BA), Dep. Helder Salomão (PT-ES), Dep. Beto Faro (PT-PA), Dep. Padre João (PT-MG), Dep. Capitão Wagner (PROS-CE), Dep. Paulão (PT-AL), Dep. Afonso Florence (PT-BA), Dep. André Janones (AVANTE-MG), Dep. Idilvan Alencar (PDT-CE), Dep. Paulo Reunião de: 02/07/2019 Guedes (PT-MG), Dep. Geninho Zuliani (DEM-SP), Dep. Orlando Silva (PCdoB-SP), Dep. Erika Kokay (PT-DF), Dep. Alessandro Molon (PSB-RJ) e Dep. Daniel Almeida (PCdoB-BA).  Anunciados para discutir a matéria mas ausentes no plenário os Deputados Léo Moraes, Paulo Pereira, Danilo Cabral, Caroline de Toni, Arnaldo Jardim, Flordelis, Evair de Melo, Flávio Nogueira, Eli Borges, Felipe Rigoni, Denis Bezerra, Alan Rick, Weliton Prado, Reinhold Stephanes Junior, Professora Rosa Neide, Áurea Carolina, Julio Delgado, Frei Anastacio Ribeiro, David Miranda, Natália Bonavides, Marcio Jerry e Patrus Ananias. Às doze horas e quarenta e cinco minutos, o Presidente suspendeu a reunião, retomando os trabalhos às treze horas, no Plenário 2. Usaram da palavra como Líder os Deputados Renildo Calheiros, pelo PCdoB; André Figueiredo, pelo PDT; Henrique Fontana, pelo PT; Jandira Feghali, pela Minoria; Ivan Valente, pelo PSOL; João Campos, pelo PRB; Tadeu Alencar, pelo PSB; e Alessandro Molon, pela Oposição. Não havendo mais Deputados inscritos, o Presidente declarou encerrada a discussão. Auxiliaram na condução dos trabalhos os Deputados Silvio Costa Filho, Vice-Presidente; e Cleber Verde. Encerramento: Nada mais havendo a tratar, o Presidente convocou reunião para o dia vinte e sete de junho, quinta-feira, às nove horas, destinada à votação do parecer, e encerrou os trabalhos às dezesseis horas e dezesseis minutos. E, para constar, eu, Alessandro Alves de Miranda, Secretário-Executivo, lavrei a presente Ata, que, por ter sido aprovada, será assinada pelo Presidente, Deputado Marcelo Ramos, e publicada no Diário da Câmara dos Deputados. O inteiro teor foi gravado, passando o arquivo de áudio correspondente a integrar o acervo documental desta reunião.  Indago se algum Deputado deseja retificar a ata. (Pausa.) Não havendo quem queira retificar a ata, coloco-a em votação. Os Deputados que a aprovam permaneçam como se encontram.  (Pausa.) Aprovada. Há questão de ordem do Deputado André Figueiredo, da Deputada Luiza Erundina e do Deputado Henrique Fontana. Peço aos Deputados que indiquem o dispositivo regimental no qual está fundamentada a questão de ordem."
