id_sessao,data,autor,partido,uf,discurso
194,11/07/2019,RODRIGO MAIA,DEM,RJ,A lista de presença registra na Casa o comparecimento de 504 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos. O Sr. Secretário procederá à leitura da ata da sessão anterior.
194,11/07/2019,MARCELO RAMOS,N/A,N/A,"servindo como 2º Secretário, procede à leitura da ata da sessão antecedente, a qual é, sem observações, aprovada. (Não há expediente a ser lido.)"
194,11/07/2019,RODRIGO MAIA,DEM,RJ,"A lista de presença registra o comparecimento de 271 Senhoras Deputadas e Senhores Deputados. Passa-se à apreciação da matéria sobre a mesa e da constante da Ordem do Dia. PROPOSTA DE EMENDA À CONSTITUIÇÃO Nº 6, DE 2019"
194,11/07/2019,PODER EXECUTIVO,N/A,N/A,"Continuação da votação, em primeiro turno, da Proposta de Emenda à Constituição nº 6-D, de 2019, que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências; tendo parecer da Comissão de Constituição e Justiça e de Cidadania, pela admissibilidade, ressalvada a inadmissibilidade quanto aos seguintes dispositivos: a) art. 1º, na parte em que modifica o § 2º do art. 109 da Constituição, concernente à extinção do foro do Distrito Federal para a propositura de ações contra a União; b) art. 2º, na parte em que acrescenta o § 4º ao art. 10 do Ato das Disposições Constitucionais Transitórias, para dispor sobre o fim do pagamento da indenização compensatória e do depósito do fundo de garantia do tempo de serviço (FGTS), a partir da concessão da aposentaria; c) a expressão de iniciativa do Poder Executivo federal, constante no art. 1º da PEC, na parte em que altera o art. 40, § 1º; art. 201, §§ 1º e 10; e 201-A, todos da Constituição Federal; bem como no art. 3º, § 3º e no art. 5º, § 1º, do Capítulo III da PEC; e no art. 18, § 5º, do Capítulo V da PEC; e a expressão de iniciativa do Poder Executivo constante no art. 1º da PEC, na parte em que altera o art. 42, § 2º da Constituição Federal; d) art. 1º, na parte em que altera o art. 40, § 2º, III, para retirar do texto constitucional a definição da idade para a aposentadoria compulsória do servidor público, transferindo a disciplina da matéria para Lei Complementar (Relator: Dep. Delegado Marcelo Freitas); e da Comissão Especial, pela admissibilidade das emendas e, no mérito, pela aprovação, com substitutivo, desta e das Emendas nºs 27, 34, 36, 50, 59, 79, 89, 93, 100, 103, 111, 118, 119, 135, 141, 159, 172, 181, 182, 184, 198, 225, 230, 243, 249, 255, 267 e 277; pela aprovação parcial das Emendas nºs 1, 3, 5, 18, 20, 25, 28, 29, 30, 31, 32, 37, 45, 46, 47, 51, 52, 58, 60, 64, 67, 68, 69, 70, 71, 73, 76, 77, 81, 82, 85, 86, 88, 90, 92, 96, 97, 102, 104, 106, 107, 112, 115, 116, 134, 136, 137, 140, 142, 146, 149, 150, 158, 162, 164, 171, 174, 175, 177, 178, 183, 187, 189, 190, 191, 192, 194, 195, 197, 199, 209, 216, 218, 219, 224, 228, 229, 231, 232, 233, 234, 238, 239, 250, 251, 253, 256, 257, 260, 261, 262 e 263, e pela rejeição das Emendas nºs 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 26, 33, 35, 38, 39, 40, 41, 42, 43, 44, 48, 49, 53, 54, 55, 56, 57, 61, 62, 63, 65, 66, 72, 74, 75, 78, 80, 83, 84, 87, 91, 94, 95, 98, 99, 101, 105, 108, 109, 110, 113, 114, 117, 126, 127, 128, 129, 130, 131, 132, 133, 138, 139, 143, 144, 145, 147, 148, 151, 156, 157, 161, 163, 170, 173, 176, 180, 185, 186, 188, 193, 196, 208, 210, 211, 212, 214, 215, 217, 235, 236, 240, 241, 258, 264, 265, 268 e 270 - Relator: Dep. Samuel Moreira, que apresentou Complementação de Voto e, em decorrência da apreciação de destaques, concluída em 5 de julho de 2019, Reformulação de Voto. Os Deputados Chico D'Angelo; Henrique Fontana, Gleisi Hoffmann, José Guimarães, Pedro Uczai, Carlos Veras, Jorge Solla, Paulo Teixeira e Rubens Otoni; e Ivan Valente, Luiza Erundina e Sâmia Bomfim, apresentaram votos em separado. Há requerimento sobre a mesa. Tem a palavra o Deputado Paulo Guedes, por 2 minutos."
194,11/07/2019,PAULO GUEDES,PT,MG,"Sr. Presidente, primeiro eu quero dizer que estou com pena do meu colega Deputado Rogério Correia. Estava torcendo muito pelo Galo, mas ele levou 3 a 0. É assim mesmo, Deputado Rogério. O Ministro Paulo Guedes... Inclusive, o Presidente me concedeu a palavra porque eu fui muito citado. As pessoas misturam muito as pessoas, Deputado Célio Moura. V.Exa. é o Célio Moura; V.Exa. não é o Sergio Moro. Há uma diferença muito grande. Mas eu queria aproveitar estes 2 minutos aqui, Sr. Presidente, para avisar ao Ministro Paulo Guedes que a alegria dele também vai durar pouco, porque essa reforma não passará de um voo de galinha. Tudo que eles prometeram, mentindo para o Brasil, nesses 7 meses vai cair por terra logo após a aprovação, porque a economia não vai voltar a crescer com essa reforma, muito pelo contrário. Não é à toa que os nove Governadores do Nordeste se posicionaram contra essa reforma: ela acaba com a Previdência Social. Essa reforma vai inibir o comércio, vai tirar recursos dos mais pobres. Ela não vai fazer a economia crescer Š aliás, vai acontecer o contrário disso ao se tirarem recursos dos mais pobres, ao se tirarem recursos e se inibir a aposentadoria de trabalhadores rurais, de professores, ao se retirarem direitos das viúvas, suas pensões. O Ministro Paulo Guedes e o Bolsonaro não vão comemorar essa vitória que estão tendo aqui na reforma da Previdência. Eles deveriam, de fato, começar o Governo deles, que já está no sétimo mês sem que tenha havido um único anúncio Š um anúncio de projeto, um anúncio de geração de emprego, um anúncio de obras. Enfim, é um Governo sem nada, um Governo que está entregando tudo, entregando o Brasil, entregando as nossas empresas, vendendo o nosso patrimônio. E eles acabam de tomar, hoje, o direito mais sagrado do povo brasileiro, o direito de se aposentar, ao proclamarem aqui o fim da Previdência Social."
194,11/07/2019,RODRIGO MAIA,DEM,RJ,"Requerimento de retirada de pauta. Senhor Presidente, Requeiro, nos termos do artigo 83, parágrafo único, II, c, combinado com o artigo 117, VI, todos do Regimento Interno da Câmara dos Deputados, a Retirada de Pauta da presente Ordem do Dia da Proposta de Emenda à Constituição nº 6, de 2019. Sala das Sessões, 11 de julho de 2019. Para falar a favor, tem a palavra o Deputado Ivan Valente.  (Pausa.) Tem a palavra a Deputada Luiza Erundina."
194,11/07/2019,LUIZA ERUNDINA,PSOL,SP,"Sr. Presidente, Sras. e Srs. Parlamentares, esse requerimento de retirada de pauta é para tornar claro que essa proposta de reforma requer uma discussão mais ampla com a sociedade brasileira. Além disso, as justificativas dadas para essa reforma são falsas. Dizem que a aprovação dessa matéria vai resolver o problema do desemprego, vai fazer o Brasil voltar a crescer economicamente, enfim, vai resolver todos os males do nosso País. Isso é uma enorme mentira, porque o que faz um país criar emprego e se desenvolver são investimentos públicos, além de investimentos privados. O que se fez neste País nos últimos tempos, nos últimos 5 anos, foi exatamente deixar de investir, estabelecer uma proposta de estagnação da economia por 20 anos, com a aprovação da PEC da morte. A reforma trabalhista foi vendida como sendo um meio de resolver o problema do desemprego, mas, muito pelo contrário, além de fragilizar as relações de trabalho e acabar inclusive com a Justiça do Trabalho, só fez crescer o desemprego. Portanto, foi uma falácia. Também é uma falácia prometer o mesmo com a aprovação dessa proposta de reforma da Previdência. É necessário, portanto, desmistificar esses argumentos e, mais do que isso, suspender ou tirar de pauta essa matéria, para que seja discutida com a sociedade, que não quer a reforma da Previdência. Ela impacta negativamente os pobres deste País e, mais do que isso, Sr. Presidente, acaba com o sistema de Seguridade Social, que é o maior patrimônio social do Brasil. Isso não se faz apenas com uma discussão do Poder Legislativo e uma decisão autoritária, sem uma discussão mais ampla, sem sequer uma consulta à sociedade brasileira. Portanto, retiremos essa matéria de pauta!"
194,11/07/2019,RODRIGO MAIA,DEM,RJ,Orientação de bancada. Como vota o Bloco da Maioria?
194,11/07/2019,ALEXANDRE FROTA,PSL,SP,"O voto é não, Presidente."
194,11/07/2019,RODRIGO MAIA,DEM,RJ,Como vota o PT?  (Pausa.) Como vota o PSB?  (Pausa.) Como vota o PDT?  (Pausa.) Como vota o PL?  (Pausa.)
