autor|partido|uf|discurso
MARCELO RAMOS|PL|AM|Havendo número regimental, declaro aberta a 16ª Reunião Ordinária da Comissão Especial, destinada a proferir parecer à Proposta de Emenda à Constituição nº 6-A, de 2019, do Poder Executivo, que modifica o sistema de Previdência Social, estabelece regras de transição e disposições transitórias e dá outras providências. Em apreciação a ata da 15ª Reunião, realizada ontem, cujas cópias estão à disposição dos senhores membros. Indago ao Plenário se há necessidade de leitura da ata.  (Pausa.)
ALEXANDRE FROTA|PSL|SP|Peço a dispensa da leitura da ata.
MARCELO RAMOS|PL|AM|Dispensada a leitura da ata a pedido do Deputado Alexandre Frota. Indago se algum membro deseja retificar a ata.  (Pausa.) Não havendo quem queira retificar a ata, coloco-a em votação. Os Deputados que a aprovam permaneçam como se encontram.  (Pausa.) Aprovada a ata. Comunico que a lista com a sinopse do expediente recebido se encontra disponível na mesa de apoio para V.Exas. Aproveito para solicitar que as assessorias cedam lugar ao Deputado que porventura esteja sem assento. Continuação da discussão e votação do parecer do Relator, Deputado Samuel Moreira, à PEC 6-A Š está aqui 6, mas já é 6-A porque é o substitutivo da CCJ.  (Pausa.) Com a palavra o Deputado Professor Israel, pelo tempo regimental de 15 minutos.
PROFESSOR ISRAEL BATISTA|PV|DF|Sras. Deputadas e Srs. Deputados, Sr. Presidente, Sr. Relator, o Brasil tem assistido diariamente aos debates em torno da reforma da Previdência, e nós Parlamentares temos que cumprir com nossas responsabilidades perante a Nação. Ao longo dos últimos meses, eu e todos os senhores e senhoras tivemos muitos questionamentos. Questionaram-nos se somos a favor ou contra a reforma da Previdência. Durante esse período, eu tive a oportunidade de estudar o tema. Tive a oportunidade de me reunir com o Relator, Deputado Samuel Moreira. Eu me reuni com ele em várias oportunidades, e eu preciso aproveitar este momento para fazer um agradecimento. Reunião de: 19/06/2019 O agradecimento é pela cordialidade, pela urbanidade e pela disponibilidade do Deputado Samuel Moreira, num momento de muita conturbação, mas que coroa a sua carreira política, a sua trajetória, sendo ele figura central no debate que vai afetar mais de 200 milhões de brasileiros. Parabéns, Deputado Samuel Moreira, por sua condução, feita sempre em homenagem aos ideais democráticos, tão atacados no País nos últimos meses. Eu sempre busquei cooperar com o debate. Propus especialistas para debaterem aqui em audiências públicas. Coordenei o seminário regional aqui no DF em que esteve presente o Presidente desta Comissão Especial, que também merece nosso reconhecimento. A condução desta Comissão tem sido feita de maneira impecável, sempre com base nos preceitos democráticos que norteiam nosso País. Apresentei, durante todo esse processo, seis emendas à PEC 6. Além disso, quero falar aos senhores e senhoras que eu discordo da forma como os servidores foram tratados ao longo desse processo. Na minha avaliação, eles podem ser importantes aliados, porque são muito bem preparados e conhecem as  nuances  da administração pública. Nós que exercemos cargos públicos como mandatários passamos. Hoje nós somos Deputados, hoje nós estamos no Senado, ocupamos a Presidência da República, os Governos Estaduais, mas são os servidores públicos que preservam a memória do Estado brasileiro, e por isso eles precisam ser tratados como aliados e não como adversários, não podem ser tachados de marajás ou qualquer coisa que o valha. Os servidores públicos, sem dúvida, querem, sim, uma reforma da Previdência, talvez não essa, tal como foi apresentada. Mas entendemos, e todos os brasileiros talvez tenham compreendido, a necessidade de que a Previdência se refaça cotidianamente, porque a nossa demografia se altera cotidianamente. Nós também queremos uma reforma, Sr. Presidente, que garanta o equilíbrio fiscal e permita a volta do crescimento econômico, para que nunca mais volte a acorrer o que está acontecendo, agora, no nosso País. Queremos uma reforma que estabeleça metodologia para o cálculo do resultado da Previdência, para que no futuro os números que trazem um diagnóstico sobre a Previdência do País não variem em percentuais tão elásticos quanto os que temos visto. Enquanto entidades muito bem preparadas dizem que o déficit da Previdência simplesmente não existe, o Governo afirma que há um déficit de mais de 200 bilhões de reais. O fato é que diversas despesas eminentemente assistenciais ou trabalhistas têm colaborado para aumentar o déficit, o que não é razoável, Sr. Presidente. Por isso, é desejável que sejam definidas por lei as receitas e as despesas que devem entrar no cômputo e apartadas do cálculo outras, conferindo maior segurança e estabilidade no trato da Previdência daqui por diante, Deputado Samuel. Nós defendemos uma reforma que defina parâmetros tirados dos cálculos atuariais de maneira que se estabeleça níveis de alerta parecidos com os aplicáveis às despesas de pessoal pela Lei de Responsabilidade Fiscal Š LRF. Quando os parâmetros ultrapassarem certos valores de controle, o Governo e a sociedade já ficam alertados de que medidas devem ser tomadas tempestivamente de maneira a evitar que situação como a atual volte a acontecer. A responsabilização dos gestores que derem causa ao desequilíbrio da Previdência também é importante. Somente assim vamos garantir que o nosso povo tenha uma Previdência saudável no futuro. Apoiamos uma reforma que exige a transparência dos números de Previdência. Definidas as receitas e despesas que devem efetivamente ser consideradas no cálculo e estabelecida a metodologia de cálculo daqui para frente, o Governo deve dar transparência a esses números, aos cálculos atuariais e à observância dos parâmetros que garantiriam o equilíbrio da Previdência no Brasil. Essas informações, Sr. Relator, deveriam estar disponíveis para toda a sociedade, para que sejam submetidas ao controle social desse gasto tão importante. Nós ansiamos por uma reforma que vá tratar com responsabilidade os recursos destinados à previdência das pessoas. Que não haja mais a destinação dessas receitas para outro tipo de despesa, como aconteceu com a DRU, e que, em caso de superávit, seja prevista, Sr. Relator, a contabilização e a reserva dos recursos sobressalentes, de maneira a garantir a saúde desse sistema previdenciário. Esse é um dos parâmetros que para mim são da maior importância e que fazem a justiça que gostaríamos de ver nessa reforma. Queremos também que o cálculo atuarial seja padronizado, parametrizado, e obrigatório para União, Estados e Municípios, constituindo-se uma das informações com publicação obrigatória, de maneira a garantir a saúde do sistema previdenciário brasileiro. Com reformas que mudam a idade mínima, tempo de contribuição, alíquota de empregados e empregadores e muitos outros parâmetros, sem transição, não se pode mais dizer que o brasileiro tem o pleno direito à aposentadoria. Fica parecendo que o brasileiro tem direito ao que o Governo quiser no momento em que ele deveria se aposentar. Então, não podemos continuar assim. Reunião de: 19/06/2019 Eu quero também alertar, Sr. Relator, sobre um tema que é fundamental, que são os professores nessa PEC. Em 5 de junho recente, a nossa Comissão de Educação, um dos órgãos mais tradicionais da Câmara dos Deputados, aprovou, de forma unânime, uma moção de apoio à manutenção das regras atuais de aposentadoria especial para os professores. Tanto os membros da base do Governo quanto os da Oposição que integram aquele colegiado entendem que esses profissionais merecem um tratamento diferenciado, em virtude das especificidades e da relevância do cargo que ocupam. Devemos apontar o fato extraordinário conquistado na Comissão de Educação, que conseguiu unificar o discurso de Deputados do PSL e de Deputados do Partido dos Trabalhadores. São momentos raros da democracia brasileira. Neste momento em que os brasileiros preferem ressaltar as desavenças, a Comissão de Educação conseguiu ressaltar os pontos em comum que nós temos. O relatório  Education at a Glance  de 2016, publicado pela OCDE, revelou que os professores brasileiros desempenham a maior jornada anual de trabalho dentre os países observados. São 19 horas semanais em média na sala de aula contra 15 horas em média no resto das nações em tela. A pesquisa  Profissão Professor , realizada em 2018 pela respeitada organização Todos Pela Educação, apontou que 49% dos professores da educação básica não recomendariam sua profissão para os jovens. Dentre os problemas mais citados para a não indicação, Sr. Relator, os mais recorrentes são a desvalorização da carreira, a má remuneração, a rotina desgastante e a falta de infraestrutura e recursos. Trata-se, portanto, de uma jornada de trabalho exaustiva, com alto nível de exigência, que perpassa o ambiente da sala de aula. Culturalmente, o Brasil não valoriza a educação. Esse fato é evidenciado pelo recorrente não cumprimento do piso salarial legal dos corpos docentes municipais e estaduais, bem como pela inexistência de plano de carreira para os integrantes do magistério nacional. A consequência lógica é a baixa atratividade da carreira, atestada pelos números aqui apresentados. Nós temos o Brasil campeão dos piores  rankings  mundiais na educação. Apenas 2,4% dos estudantes brasileiros do ensino médio desejam a carreira do magistério. Nós somos o primeiro país do  ranking  mundial em agressão contra os professores. Também somos o primeiro do mundo no  ranking  de indisciplina e violência escolar. O Brasil vive, Sr. Presidente, um momento extremamente delicado, que exige reformas. Mas um país não é capaz de superar suas dificuldades econômicas e sociais sem reavaliar suas estratégias para a educação. Esse processo passa, obrigatoriamente, pelo olhar cuidadoso com os profissionais responsáveis por essa área, os professores e, especialmente, as professoras. A partir desse raciocínio, a Comissão de Educação rogou a S.Exa. o Relator e aos Deputados que compõem esta Comissão que atuassem no sentido de preservar as características atuais da Previdência dos professores. Eu, como representante da educação, um dos representantes da educação nesta Comissão Especial, ao tempo em que ressalto a forma democrática como esta Comissão foi conduzida, tanto pelo Presidente quanto pelo Relator e pelo Vice- Presidente, não posso me furtar a fazer este último apelo, no sentido de que a Comissão avalie, ainda neste relatório final que está em debate, a possibilidade de mantermos as características atuais da aposentadoria dos professores, pelo menos até que chegue a este Congresso Nacional alguma proposta realmente sustentável e sólida de mudança no plano de carreira docente do Brasil. É um apelo que todos os ativistas pela educação no Brasil fazem a V.Exas. Muito obrigado. Foi uma grande honra participar desta Comissão. Foi uma grande honra aprender com os Deputados membros desta Comissão, especialmente com a Mesa que dirigiu a Comissão Especial da Reforma da Previdência. Eu saio daqui muito maior do que entrei. Saio daqui com um grande aprendizado sobre democracia, e com enorme respeito pelos que dirigiram esta Comissão. V.Exas. assinaram o livro da história brasileira. Meus parabéns!
MARCELO RAMOS|PL|AM|Muito obrigado pela gentileza, Deputado Professor Israel. Passo a palavra à Deputada Adriana Ventura, pelo tempo regimental de 15 minutos.
ADRIANA VENTURA|NOVO|SP|Vou falar menos. Bom dia a todos. Eu quero agradecer a esta Mesa maravilhosa, Deputado Marcelo, Deputado Silvio, nosso Relator Deputado Samuel, pelo brilhante trabalho, pelo respeito, pela educação com todos. Eu acho que o meu colega anterior já elogiou bastante a Mesa e quero reforçar. Eu sei o quanto é difícil contemplarmos as expectativas e os anseios de todos, o quanto é difícil respeitar os direitos existentes e pensar na sustentabilidade da Previdência. Então, eu quero agradecer aos senhores pela dedicação e esforço. Reunião de: 19/06/2019 Na minha opinião, nós tivemos grandes ganhos com o relatório do Deputado Samuel. Eu acho que o fato de a reforma trazer a idade mínima, principalmente, manter esse gatilho da idade mínima, é importantíssimo para a sustentabilidade da Previdência. Outro ponto do relatório que eu gostei bastante é a separação clara do que é Previdência e do que é assistência social, porque muitas vezes o debate fica extremamente contaminado e essa separação traz mais transparência. Em relação à idade mínima, eu reforço que é muito importante manter esse gatilho usando o exemplo de Portugal. Portugal frequentemente muda a idade mínima. Hoje a idade mínima lá é de 67 anos. Eles já estão mudando para 70 anos, justamente por causa dessa evolução e dessas mudanças. Um ponto que eu acho importantíssimo também, mas vai ficar para um segundo momento, é, quando tivermos políticas públicas adequadas para reparar algumas questões das mulheres, dos professores, pensarmos em igualar a idade de homem e mulher. Em 189 países, o Brasil é um dos poucos que ainda não fez isso, não igualou as idades. Outra coisa que eu achei muito positiva no relatório foi excluir a pena disciplinar para os juízes, a questão da aposentadoria compulsória. Acho que isso traz, apesar do pouco efeito fiscal, Deputado Samuel, um efeito moralizador, de combate à corrupção, de que eu gostei bastante. Outro ponto positivo é a questão das alíquotas progressivas, porque quem pode mais paga mais. Algumas reflexões eu quero fazer aqui, que são pontos de preocupação. A questão da contribuição social, que já foi falada pelos meus colegas do Partido Novo: a preocupação é que, com esse aumento, a instituição financeira repasse para o consumidor. Isso para nós é muito claro, e achamos que o consumidor vai pagar. Outro ponto que me preocupa muito, principalmente porque eu sou professora de empreendedorismo e sei como isso é importante para a geração de emprego, é a questão do recurso do FAT, de tirar do BNDES e mandar para a Previdência. Isso me preocupa muito, porque, quando falamos em BNDES, pensamos em investimento, em empreendedorismo, em desenvolvimento econômico e em geração de emprego. Outros dois pontos de preocupação que eu tenho são a capitalização, porque acho que, para garantirmos a sustentabilidade, temos que pensar na capitalização, e a inclusão dos Estados e Municípios. Agora, particularmente, eu penso no nosso objetivo no futuro. Eu gostaria de ver uma reforma mais igual, que incluísse todos, que mostrasse realmente que todos são iguais perante a lei. Penso em uma reforma que traga isonomia, uma reforma que traga justiça social, uma reforma que não permita que algum brasileiro tenha tratamento especial, em detrimento de outro, uma reforma que não seja um instrumento de compensação. Eu entendo que há várias questões aqui que teriam que ser tratadas antes de se falar em Previdência. Nós não temos política pública adequada para mulheres, para trabalhadores rurais, para professores, e isso tem que ser compensado na Previdência. Mas isso, na minha opinião, é um erro. Nós estamos reparando com a Previdência lá no futuro, quando a pessoa já envelheceu, uma coisa que deveria ser feita antes. Há uma outra coisa. Políticos, servidores e todas as outras classes também são iguais, fazem escolhas profissionais, e temos que ter políticas públicas adequadas. Eu sou mulher, eu sou professora, eu sou Deputada e eu não quero aposentadoria diferente, porque, para mim, somos todos brasileiros, e nós não podemos legislar pela exceção. Outra coisa que é uma grande preocupação Š e aí eu encerro a minha fala Š, que eu já manifestei em outras sessões, é que nós temos que ter uma preocupação em representar todos os que não estão aqui, todos os que não têm sindicato forte. O que nós vemos aqui é um grande jogo de interesse, em que as grandes corporações ganham, e nós temos obrigação, como Parlamentares que somos, de representar quem não tem sindicato e quem não está próximo do poder. A minha pergunta é a seguinte: quais são os critérios objetivos que serão trazidos para não termos que criar quinhentas categorias diferentes especiais? Então, para o Sr. Relator, quando fala de categorias, além dos professores, das atividades com condições prejudiciais, quais são os critérios objetivos para identificar quem estará nessa categoria? Serão números de afastamentos, de mortes, de doenças ocupacionais, de acidentes de trabalho? Eu vejo, inclusive, na Comissão de Seguridade Social, da qual participo, que lá há vários projetos de lei que pedem aposentadoria especial para uma infinidade de profissões, e isso me preocupa. Há vários, inclusive, que estavam em votação esta semana. Então, eu acho que é um ponto de atenção para não contaminarmos o belo trabalho que está sendo feito aqui: critérios objetivos para que possamos definir o que entra nessa categoria especial, para que a reforma seja justa e que sejam todos representados. Com isso, eu encerro, agradeço a todos pela grande aprendizagem, agradeço a todos os meus colegas Deputados por esse exemplo de democracia, de respeito ao que é divergente, e espero que consigamos fazer uma reforma que atenda a todos, que seja justa, porque todos somos iguais e todos somos especiais. Obrigada.  (Palmas.) Reunião de: 19/06/2019
MARCELO RAMOS|PL|AM|Obrigado, Deputada Adriana. Pela Liderança da Minoria, tem a palavra a Deputada Alice Portugal. Depois concederei a palavra aos Deputados Arlindo Chinaglia e João Marcelo Souza.
ALICE PORTUGAL|B|BA|Bom dia, Sr. Presidente, Sr. Relator, colegas Deputados e Deputadas. Sr. Deputado Samuel Moreira, ontem nós fizemos uma abordagem bastante abrangente. Aliás, esta Comissão está conseguindo dissecar o relatório, estamos trabalhando juntos. Eu, de fato, espero que V.Exa. possa considerar pelo menos parte daquilo que temos levantado. Ontem levantamos questões da maior importância que constam do seu relatório e que precisam de correções, e outras, inclusive já corrigidas, foram exaltadas. Mas eu queria, hoje, como Vice-Líder da Minoria, neste tempo que me foi concedido, fazer uma contextualização e dialogar com o Relator. Primeiro, nós estamos vivendo no Brasil um problema muito sério de compartilhamento de dados. Hoje mesmo está em toda a imprensa a afirmação de um boliviano que diz que um  software  dele foi usado para disparar as mensagens para a campanha eleitoral do Sr. Presidente da República, o Capitão reformado Jair Bolsonaro. Isso nos causa espécie. Nós estamos esperando uma resposta do Tribunal Superior Eleitoral, para que se posicione sobre isso. Por outro lado, o ex- juiz Moro está lá no Senado dando informações, prestando esclarecimentos sobre o vazamento ou a entrega de dados feita por alguém não revelado ao  site  The Intercept, que comenta que há uma ação coordenada por ele para gerar, infelizmente, uma definição jurídica a serviço de uma definição política. Mas o que eu queria comentar e dialogar com o Relator é que, ontem também, Deputado Samuel Moreira, está em toda a imprensa de hoje, o Sr. Presidente da República vetou um trecho da Medida Provisória nº 871, de 2019, que foi promulgada ontem e transformada em lei no Palácio do Planalto. Esse trecho, fruto de um destaque do PP que eu destaquei e mantive Š e ganhamos no Plenário da Câmara Š, proibia o compartilhamento de dados dos beneficiários do INSS. Deputado Samuel, ele vetou esse trecho que proibia o compartilhamento de dados dos beneficiários do INSS. Portanto, mais uma vez, são dados e, mais uma vez, compartilhamento de dados. E esses dados poderão ser utilizados por bancos, empresas, Deputado Arlindo Chinaglia, e para  marketing  direcionado. Quando nós resgatamos esse destaque, que havia sido deixado de lado, e todo mundo apoiou Š pois acabou tendo uma votação quase completa no Plenário da Câmara Š, Deputado Alexandre Frota, compreendemos que o beneficiário do INSS precisava ser protegido. Não é possível que consideremos que todos os que recebem o BPC são fraudadores, que todos os que recebem o Bolsa Família são fraudadores. Aliás, aquela medida tomou medidas contra fraude, que eu também concordo Š e a Minoria e a Oposição como um todo concordam Š que deva ser combatida. Mas esta reforma, suposta e pretensa reforma da Previdência, com caráter fiscal e com um caráter regressivo em muitos dos seus itens em relação a direitos conquistados com muito afinco pela Nação brasileira, não trata de buscar os fraudadores, os grandes devedores, os grandes sonegadores da Previdência Social. Mas o Presidente da República, ontem, assacou, de maneira agressiva, contra os beneficiários do INSS em relação ao seu sigilo de dados. Então, eu queria, Deputado Samuel, já que nós não tratamos disso ontem, não tratamos no próprio texto da reforma, que V.Exa. tratou de cuidar da unidade mínima, diante das suas convicções... V.Exa. conhece as nossas opiniões. Eu acho, por exemplo, que nós precisaríamos, antes de qualquer reforma, que teria que ser inclusiva, fazer a reforma tributária, fazer a reforma fiscal, ir atrás dos sonegadores, atrás dos devedores, atrás daqueles que não honram com o seu papel de compartilhar a Previdência. Mas hoje, em vez disso, e por isso nós nos debatemos, há um estímulo à defenestração do direito do mais pobre, como se não bastasse o aumento da carga. Há o aumento da idade, o aumento da contribuição. Há emergência de alguns para que volte uma contribuição extra dos servidores, que já estão sendo diabolizados, demonizados no texto da reforma, como se fossem todos perdulários, como se fossem marginais. São professores, policiais, servidores em geral, quer sejam de nível de apoio, quer sejam de nível médio, quer sejam de nível superior, nas instituições dos Poderes Executivo, Legislativo e Judiciário. É muito importante dizer que somos contra as incorporações milionárias, que são feitas inclusive muitas vezes para gozo próprio de quem judicializa. Eu entendo que a grande maioria não tem qualquer relação com fraude. E aí, Deputado Samuel, eu rogaria a V.Exa. Š vamos tentar fazer um destaque, uma emenda nesta direção Š que incorporasse no texto algo que desse segurança de dados aos beneficiários do INSS. Isso é papel nosso, isso está de acordo com o texto constitucional e com a Lei de Proteção de Dados. Reunião de: 19/06/2019 E eu contesto, veementemente, o veto do Sr. Presidente da República àquele destaque que aprovamos. Ontem, ele o vetou, com sensacionalismo, em antagonismo à ideia de que é preciso proteger os dados, proteger o mais frágil e, ao mesmo tempo, indicar a busca dos grandes que concorrem para o déficit que a Previdência passou a ter apenas de 2016 para cá. É nessa direção, contextualizando a questão dos dados, que eu dialogo com V.Exa. Muito obrigada.
MARCELO RAMOS|PL|AM|Com a palavra o Deputado Arlindo Chinaglia, pelo tempo de 15 minutos.
ARLINDO CHINAGLIA|PT|SP|Sr. Presidente, eu também quero cumprimentá-lo pela condução dos trabalhos. Quero cumprimentar V.Exa., Sr. Relator, também pelo esforço de pelo menos ouvir e até mesmo fazer anotações durante todas as sessões, nós somos testemunhas disso, o que naturalmente não implica, e V.Exa. sabe disso, que concordemos com todas as propostas que acabaram constando do seu parecer. Mas, de qualquer maneira, é meu dever, creio, reconhecer que V.Exa. fez algumas mudanças importantes. E vou citá-las, pelos menos algumas. Penso que retirar a capitalização da proposta foi, digamos, uma atitude relevante de V.Exa., evidentemente a partir do momento que V.Exa. formou convicção. Segunda coisa. V.Exa. aumentou de 15% para 20% a Contribuição sobre o Lucro Líquido dos bancos. Isso vai gerar 50 bilhões, aproximadamente, em 10 anos, que, frente aos números que são mencionados, é pouco, mas o simbólico é fundamental. Eu falo isso para estimular V.Exa. e os demais pares desta Comissão, a quem cumprimento também, para que escolhamos quem é que tem que pagar a conta de alguns ajustes que a Previdência precisa ter. Passo, então, a falar a respeito de aspectos que são absolutamente decisivos na vida nacional. Primeiro, nós não podemos pensar a Previdência ignorando o País que somos. Nós somos o país mais desigual do mundo. Um exemplo muito marcante é um estudo da Oxfam, que revela que 5 brasileiros têm a mesma riqueza que 100 milhões de brasileiros. Então, se nós não partirmos do pressuposto de que precisamos distribuir renda e entender que papel a Previdência joga nessa distribuição de renda, não há proposta que resolva esse tema. Aliás, eu fiz uma cobrança ao Ministro Guedes, quando ele veio aqui. Ele criticou que todo financiamento estava calcado na folha de salários, mas a proposta que ele trouxe é calcada exatamente na folha de salários, num mercado de trabalho que muda, num mercado de trabalho que nenhum de nós é capaz de prever como será daqui a 20 anos, 30 anos, 50 anos. Então, se não discutirmos outras fontes de financiamento, nós não vamos fazer a reforma. Na minha opinião, essa seria a reforma correta. Eu acho também que há outra falha: não se separa aquilo que é um problema conjuntural, que é a crise econômica do País, real, daquilo que é um problema estrutural de qualquer sistema previdenciário do planeta. Por exemplo, quando a expectativa de vida de determinado país aumenta, é evidente que isso tem que ser relacionado ao se pensar a própria sustentabilidade da Previdência. Entretanto, até 2015 foi superavitário o sistema, que passou a ser negativo em 3 anos, até 2018 pelo menos Š e continua Š, por causa da desaceleração da economia, pelo óbvio, pelo óbvio. Com isso, evidentemente, temos que levar em conta o quê? Que isso diminuiu a contribuição de empregados, diminuiu a contribuição também de empregadores, diminuiu a contribuição calcada no lucro líquido, diminuiu a contribuição calcada no COFINS, exatamente porque as empresas também perderam dinheiro com a crise. A queda das receitas, ainda que o Governo, neste caso, e V.Exa. também, tenha acertado ao impedir que se use do mecanismo da DRU para tirar receitas da Seguridade Social... Eu vou dar um exemplo: em pleno debate acerca da reforma da Previdência, em 2017, na época do Governo Temer, através da DRU foram capturados 115 bilhões de reais, somente em 2017, da Seguridade Social. Eu vou dar outro exemplo: quando se fala do déficit do regime geral, não se considera que 64% desse apelidado déficit diz respeito aos trabalhadores rurais, que tiveram uma conquista da qual nós não podemos abrir mão, Deputado Vilson. Nós não podemos abrir mão dessas conquistas. Agora isso tem que ser financiado não só pela seguridade ou pelo trabalhador urbano, mas também pela sociedade. É um direito. E nós temos que garantir esse direito por meio da Previdência Social. Pois bem, se alguém disser que não havia superávit... Às vezes nós ouvimos isso. Dizem:  "É um absurdo considerar que não há déficit" . Como é que se retirava 30% da DRU se não haveria superávit? Então, há uma contradição. Hoje, para sabermos em que nível estamos trabalhando, é preciso saber que 42% dos segurados no Brasil conseguem comprovar em média somente 4,9 meses de contribuição por ano Š 42% dos segurados. O que significa isso, Sr. Relator? Eu falo isso para estimular V.Exa. a, eventualmente, fazer uma transição ou encontrar alguma outra saída que julgue Reunião de: 19/06/2019 adequada. Para contribuir durante 20 anos, como V.Exa. coloca em seu relatório, ao aumentar 5 anos, a pessoa terá que trabalhar em média mais 12 anos. São exatamente esses que conseguem contribuir apenas 4,9 meses ao ano, e não 12 meses ao ano. Pois bem, o que ocorre com o sentido geral da proposta? Primeiro, aumenta a contribuição, aumenta o tempo de contribuição para 40 anos, reduz os benefícios, chegando a determinados absurdos Š pelo menos, na minha opinião, é o que temos de pensar. Por isso eu quero, afinal, apontar novas fontes de receita. Oitenta e quatro por cento daquilo que o Governo diz que vai ser economizado... É claro que fiz esse cálculo antes das mudanças promovidas por V.Exa., eu não tive condições de refazer os cálculos, mas não vai ser muito diferente disso, até porque, compreensivelmente, V.Exa. teve que negociar com o Governo. Digo V.Exa. como Relator, não para mim. Mas eu entendo, pois já fui Líder de Governo. Pois bem, 84% da economia vêm da redução dos benefícios, dos direitos, do Regime Geral, do BPC Š V.Exa., felizmente, tirou as propostas que o Governo apresentou Š e também do abono salarial, que V.Exa. mitigou parcialmente. Até então, na lei atual, quem recebe até dois salários mínimos tem direito ao abono. V.Exa. colocou uma trave em 1.364 reais, mitigou. Mas eu também faço observação para reflexão de V.Exa. Portanto, é em cima desse contingente, que soma 35 milhões de brasileiros, que haverá uma economia de 84%, segundo a proposta governamental. Esses ganham em média pouco mais de um salário mínimo. E aí e eu vou fazer aqui uma "ironia", entre aspas: nós aprendemos, com a proposta do Governo, que quem ganha pouco mais de dois salários mínimos Š eles dizem isto na proposta Š são os ricos, são os privilegiados. Bom, no Regime Geral, ninguém ganha acima do teto, que é de cinco mil e poucos reais. Muita gente pode imaginar, até para manifestar apoio, duas coisas. Primeira: medo de se perder a aposentadoria porque o Brasil vai quebrar. Eu repito: eu vou apresentar fontes alternativas. Segunda: as pessoas acreditam que esta proposta vai acabar com a aposentadoria de marajás. Não é verdade! Não é verdade! Na verdade, a reforma que nós aprovamos em 2012, com a FUNPRESP, já não permite Š se quiser apelidar de marajá Š que servidor público, por exemplo, imaginário ou real, receba algum valor exuberante. Não, ele recebe o teto do Regime Geral e depois vai pagar a FUNPRESP, e vai receber se pagar; aí, ele terá direito a isso. Qual é a proposta do Governo? E lamento dizer, Sr. Relator, que o relatório de V.Exa. não contemplou, por isso vou fazer uma proposta a V.Exa. E nós o apoiaremos efusivamente se V.Exa. fizer isto. Por que, definitivamente, nós não impedimos que alguém receba acima do teto constitucional, que é o salário do Ministro do Supremo Tribunal Federal? Aí sim, nós vamos, de certa forma... Porque, no regime capitalista, com tantas desigualdades, imaginar que na Previdência você vai fazer justiça é uma tremenda de uma bobagem, já que a injustiça vem de antes. As pessoas recebem benefícios em salários, na riqueza, antes. Quando chegam à Previdência, só confirmam o que aconteceu antes. Mas eu acho que deveríamos, pelo menos, acabar de fato com a possibilidade de alguém ganhar 100 mil reais por mês, três vezes o teto, e depois ainda levar isso para a aposentadoria. Isso é indefensável. Mas, continuemos. Eu falei que, na proposta do Governo, quem recebe em média 2.231 reais é considerado rico. Os pobres são os que ganham em média 1.251 reais. Eu gostaria, evidentemente, de fazer outras considerações, mas eu quero cumprir com aquilo que eu estou anunciando. Primeiro, a Medida Provisória nº 795, de 2017, que virou a Lei nº 13.586, de 2017, simplesmente permite deduzir da base de cálculo do Imposto de Renda e da Contribuição Social sobre o Lucro Líquido todas as importâncias aplicadas em petróleo e gás. É um pessoal pobre: multinacionais e até a PETROBRAS. Resultado: todo o pré-sal vai perder em 25 anos 1 trilhão. Como o Governo anunciou a tal da economia de 1,2 trilhão, mais ou menos, isso, em 10 anos, daria uma arrecadação de 400 bilhões. Quem quiser, faça as contas, principalmente alguém que tenha interesse em discutir isso. Portanto, em 10 anos, nós teríamos 400 bilhões. Vamos em frente. Se nós considerarmos também aquilo que eu já anunciei, das contas que eu fiz, que haverá 50 bilhões a mais em 10 anos, que são referentes ao aumento de 5% da alíquota dos bancos, é bom registrar ainda que, frente aos números, talvez não seja tão grande assim, mas não significa que seja desimportante. Mas vamos lá! Parte da diversificação, se nós aumentássemos 20% para Imposto de Renda sobre lucros e dividendos, isso geraria 500 bilhões em 10 anos. Só Brasil e Estônia, nunca é demais falar, não têm essa taxação sobre lucros e dividendos. Se fizéssemos a revisão das desonerações que estão previstas em 2019, que correspondem a 4% do PIB, isso daria em 4 anos, Sr. Relator, 1,2 trilhão. Isso se revisassem as desonerações. Sobre o setor de petróleo eu já comentei. Finalmente, nós podemos fazer a revisão da legislação que facilita a vida de sonegadores. Isso tem impacto anual de 500 bilhões, o que daria 5 trilhões em 10 anos. Reunião de: 19/06/2019 Finalizo dizendo que nós estamos trabalhando para que, ao final, se possível, faça-se primeiro a alteração, a ampliação das fontes de financiamento, especialmente para proteger as pessoas mais pobres deste País. Obrigado.
