autor|partido|uf|discurso
RODRIGO MAIA|PSD|SC|Não havendo quórum regimental para abertura da sessão, nos termos do § 3º do artigo 79 do Regimento Interno, aguardaremos até meia hora para que ele se complete.
RODRIGO MAIA|PSD|SC|A lista de presença registra na Casa o comparecimento de 51 Senhoras Deputadas e Senhores Deputados. Está aberta a sessão. Sob a proteção de Deus e em nome do povo brasileiro iniciamos nossos trabalhos. O Sr. Secretário procederá à leitura da ata da sessão anterior.
RODRIGO MAIA|PSD|SC|Neste momento, a Presidência irá suspender a Sessão Extraordinária para dar início à Sessão Solene em Homenagem aos 40 anos da  TV Tarobá , proposta pelo Deputado Evandro Roman. (Suspende-se a sessão às 9 horas e 38 minutos.) (O Sr. Darci de Matos, nos termos do § 2º do art. 18 do Regimento Interno, deixa a cadeira da Presidência, que é ocupada pelo Sr. Rodrigo Maia, Presidente.)
RODRIGO MAIA|DEM|RJ|Está reaberta a sessão.
RODRIGO MAIA|DEM|RJ|A lista de presença registra o comparecimento de 447 Senhoras Deputadas e Senhores Deputados. Passa-se à ordem do dia.
HENRIQUE FONTANA|PT|RS|Presidente, eu queria fazer uma questão de ordem, talvez uma reclamação a V.Exa. Ontem, Presidente, ao final da sessão, depois da votação do texto principal, foi votado o primeiro destaque. Ele era um destaque em favor dos professores. E nós, da Oposição, junto com alguns Deputados que compõem a base do Governo e também com Deputados do centro, precisávamos colocar os 308 votos para aprovar esse destaque. Portanto, o tempo de votação é muito importante numa votação como essa. V.Exa. encerrou de maneira extremamente rápida a votação, que durou 10 minutos, depois de termos ficado mais de 1 hora e meia na votação do texto, no plenário, com o painel aberto para votar. A do destaque V.Exa. encerrou com 10 minutos. E nós, que defendíamos a reinclusão das regras para os professores, tínhamos, naquele momento, em torno de 265 votos. A minha leitura é que nós tínhamos, Presidente, todas as condições de vencer aquele destaque. Então, o meu pedido a V.Exa. é: ou nós estabelecemos que todos os destaques terão só 10 minutos de votação Š e aí haveria uma regra equânime, e eu teria que me render à derrota de ontem Š, ou nós retomamos a votação daquele destaque, dando um tempo maior para que, de fato, os 510 Deputados que estavam na Casa pudessem votar. Nesse caso a nossa chance de vitória era muito grande, Presidente.
RODRIGO MAIA|DEM|RJ|Deputado, é apenas uma reclamação, não há questão de ordem e não há previsão regimental. Nós não fizemos nenhum tipo de acordo. A obstrução foi longa por parte da Oposição. Em nenhum momento, nós conseguimos fechar um acordo que tratasse inclusive do prazo de votação para cada um dos destaques. De fato, se V.Exa. fizer uma projeção do resultado da votação e do número de Deputados que iriam votar naquela votação, verá que muitos haviam saído naquele momento, então não chegaríamos nem perto dos 300 votos. Portanto, do ponto de vista do mérito, eu não vejo nenhum erro em relação àquele resultado. Em relação ao procedimento, nós podemos até construir um acordo daqui para frente, para que o tempo do primeiro destaque seja o tempo dos outros destaques. Não há problema nenhum se for assim. Agora, olhar para trás não, porque nós não conseguimos construir um acordo para debater a matéria e não conseguimos construir um acordo para um procedimento com menos obstrução. Então, eu não tenho por que olhar o que aconteceu até ontem. Nós podemos construir, a partir do dia de hoje, esta questão: a primeira votação nominal de um destaque ou de uma emenda aglutinativa pode ser a referência para todas as votações daqui para frente. Essa pode ser uma hipótese que a Mesa pode avaliar até o início da votação.
ALICE PORTUGAL|B|BA|Presidente, peço a palavra para uma questão de ordem.
EDMILSON RODRIGUES|PSOL|PA|Presidente...
RODRIGO MAIA|DEM|RJ|Só um minutinho.
EDMILSON RODRIGUES|PSOL|PA|Muitas decisões aqui são tomadas por acordo, Presidente.
RODRIGO MAIA|DEM|RJ|Mas não foi construído. Deixe-me só ler aqui.
ALICE PORTUGAL|B|BA|Questão de ordem, Presidente.
EDMILSON RODRIGUES|PSOL|PA|Por que não tentar construir com professores do País? Seria um gasto, em 10 anos, de vinte e poucos bilhões. É muito pouco para uma categoria tão importante.
RODRIGO MAIA|DEM|RJ|Deputado, só um minutinho. Há um destaque dos professores ainda a ser votado, que talvez construa a solução.
EDMILSON RODRIGUES|PSOL|PA|Mas é apenas sobre a transição, Presidente.
ALICE PORTUGAL|B|BA|Presidente, peço a palavra para uma questão de ordem.
RODRIGO MAIA|DEM|RJ|Só um minutinho. Eu vou ler aqui.
ALICE PORTUGAL|B|BA|Pois não. Eu aguardo.
RODRIGO MAIA|DEM|RJ|Passa-se à apreciação da matéria sobre a mesa e da constante da Ordem do Dia. PROPOSTA DE EMENDA À CONSTITUIÇÃO Nº 6-E, DE 2019
PODER EXECUTIVO|N/A|N/A|Continuação da votação, em primeiro turno, da Proposta de Emenda à Constituição nº 6-E, de 2019, que modifica o sistema de previdência social, estabelece regras de transição e disposições transitórias, e dá outras providências; tendo parecer da Comissão de Constituição e Justiça e de Cidadania, pela admissibilidade, ressalvada a inadmissibilidade quanto aos seguintes dispositivos: a) art. 1º, na parte em que modifica o § 2º do art. 109 da Constituição Federal, concernente à extinção do foro do Distrito Federal para a propositura de ações contra a União; b) art. 2º, na parte em que acrescenta o § 4º ao art. 10 do Ato das Disposições Constitucionais Transitórias, para dispor sobre o fim do pagamento da indenização compensatória e do depósito do fundo de garantia do tempo de serviço (FGTS), a partir da concessão da aposentaria; c) a expressão "de iniciativa do Poder Executivo federal", constante no art. 1º da PEC, na parte em que altera o art. 40, § 1º; art. 201, §§ 1º e 10; e 201-A, todos da Constituição Federal; bem como no art. 3º, § 3º, e no art. 5º, § 1º, do Capítulo III da PEC; e no art. 18, § 5º, do Capítulo V da PEC; e a expressão "de iniciativa do Poder Executivo" constante no art. 1º da PEC, na parte em que altera o art. 42, § 2º, da Constituição Federal; d) art. 1º, na parte em que altera o art. 40, § 2º, III, para retirar do texto constitucional a definição da idade para a aposentadoria compulsória do servidor público, transferindo a disciplina da matéria para Lei Complementar (Relator: Dep. Delegado Marcelo Freitas); e da Comissão Especial, pela admissibilidade das emendas e, no mérito, pela aprovação, com substitutivo, desta e das Emendas nºs 27, 34, 36, 50, 59, 79, 89, 93, 100, 103, 111, 118, 119, 135, 141, 159, 172, 181, 182, 184, 198, 225, 230, 243, 249, 255, 267 e 277; pela aprovação parcial das Emendas nºs 1, 3, 5, 18, 20, 25, 28, 29, 30, 31, 32, 37, 45, 46, 47, 51, 52, 58, 60, 64, 67, 68, 69, 70, 71, 73, 76, 77, 81, 82, 85, 86, 88, 90, 92, 96, 97, 102, 104, 106, 107, 112, 115, 116, 134, 136, 137, 140, 142, 146, 149, 150, 158, 162, 164, 171, 174, 175, 177, 178, 183, 187, 189, 190, 191, 192, 194, 195, 197, 199, 209, 216, 218, 219, 224, 228, 229, 231, 232, 233, 234, 238, 239, 250, 251, 253, 256, 257, 260, 261, 262 e 263, e pela rejeição das Emendas nºs 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 26, 33, 35, 38, 39, 40, 41, 42, 43, 44, 48, 49, 53, 54, 55, 56, 57, 61, 62, 63, 65, 66, 72, 74, 75, 78, 80, 83, 84, 87, 91, 94, 95, 98, 99, 101, 105, 108, 109, 110, 113, 114, 117, 126, 127, 128, 129, 130, 131, 132, 133, 138, 139, 143, 144, 145, 147, 148, 151, 156, 157, 161, 163, 170, 173, 176, 180, 185, 186, 188, 193, 196, 208, 210, 211, 212, 214, 215, 217, 235, 236, 240, 241, 258, 264, 265, 268 e 270 Š Relator: Dep. Samuel Moreira, que apresentou Complementação de Voto e, em decorrência da apreciação de destaques, concluída em 5 de julho de 2019, Reformulação de Voto. Os Deputados Chico D'Angelo; Henrique Fontana, Gleisi Hoffmann, José Guimarães, Pedro Uczai, Carlos Veras, Jorge Solla, Paulo Teixeira e Rubens Otoni; e Ivan Valente, Luiza Erundina e Sâmia Bomfim, apresentaram votos em separado. Concedo a palavra à Deputada Alice Portugal, para uma questão de ordem.
ALICE PORTUGAL|B|BA|Sr. Presidente, respeitosa, como sempre, com a maioria constituída na votação de ontem, eu gostaria, por uma questão procedimental, de pedir a V.Exa. esta questão de ordem, com base no art. 95, c/c § 1º, art. 17, inciso I, alínea "e", do Regimento Interno: Sr. Presidente, na Sessão Extraordinária nº 191, na noite de ontem, terça-feira, 10 de julho, na votação do texto principal da PEC 6, ou seja, do substitutivo da Comissão Especial apresentado à PEC 6/19, consta, conforme a lista de votantes, o nome de V.Exa. votando "sim" ao substitutivo. Sr. Presidente, o Regimento Interno da Casa é expresso, claro e cristalino, ao estabelecer o § 1º do art. 17: "O Presidente não poderá, senão na qualidade de membro da Mesa, oferecer proposição, nem votar, em Plenário, exceto no caso de escrutínio secreto ou para desempatar o resultado da votação ostensiva". Assim, Sr. Presidente, com todo o respeito à maioria constituída, quero solicitar a V.Exa. que analise este artigo, porque o Regimento Interno veda totalmente que o Presidente da Casa participe de qualquer votação, exceto no caso de ser votação secreta, ou para desempatar votação aberta, o que não foi o caso de ontem, com expressiva maioria, inclusive hoje, noticiada nos jornais. Evidentemente, esta votação não foi secreta e também não houve, ou não haveria, empate naquela votação. Ademais, o Presidente deve ser o primeiro Parlamentar a cumprir e a observar as normas regimentais, e não se pode exercer a Presidência sem cumprimento de tais normas, que V.Exa. vem permanentemente cumprindo, e elas são fundamentais para a condução do trabalho. Solicito, portanto, nesta questão de ordem, que seja revista a votação que ocorreu com vício regimental. Não se pode, portanto, considerar nesta votação o voto do Presidente. Ademais, infelizmente, o resultado da votação não convalida o vício formal do processo. Portanto, independentemente do resultado, esta votação não pode ser validada, precisa ser anulada por vício procedimental. V.Exa., Sr. Presidente, não deveria ter votado. Esta é uma constatação que fiz quando fui publicar o cartaz... (Desligamento automático do microfone.)
RODRIGO MAIA|DEM|RJ|Deputada, V.Exa. já dispôs de 3 minutos. Respondendo à sua questão de ordem, com todo o respeito, primeiro, vou ler os precedentes. O Presidente Henrique Eduardo Alves, na Emenda Constitucional nº 111, de 2011; o Presidente Eduardo Cunha, na Comissão Especial nº 1, de 2015; o Presidente Rodrigo Maia, no segundo turno da Proposta de Emenda à Constituição nº 304, no primeiro turno da Proposta de Emenda à Constituição nº 199, no Projeto de Lei Complementar nº 518, nos destaques do Projeto de Lei Complementar nº 441, na Proposta de Emenda à Constituição nº 2, de 2015, e no segundo turno, este ano, da Proposta de Emenda à Constituição nº 34, de 2009; em todas estas matérias, estes três Presidentes votaram. Trata-se de questão de ordem alusiva ao disposto no art. 17, § 1º, do Regimento Interno, segundo o qual o Presidente não poderá, senão na qualidade de membro da Mesa, oferecer proposição, nem votar, em Plenário, exceto no caso de escrutínio secreto ou para desempatar o resultado de votação ostensiva. No que toca ao exercício do voto, a regra regimental enunciada deve ser lida em conjunto com a Constituição Federal. O art. 47 da Constituição Federal estabelece que as deliberações de cada Casa e de suas Comissões serão tomadas por maioria dos votos, presente a maioria absoluta de seus membros. A maioria absoluta dos membros da Câmara é aferida tendo como base a totalidade dos membros, 513, o que inclui o Presidente. Desta forma, o que a regra regimental estabelece é que o Presidente vota nas votações secretas e não vota nas ostensivas, salvo, neste caso, para desempatar a votação. Tal regra diz respeito à equidistância do Presidente em relação à deliberação, mas lhe concede o direito de desempatar, essencialmente porque o Presidente é Deputado Federal e, nesta condição, não pode ser excluído das deliberações da Casa a que pertence. Evidentemente, naquelas matérias que exigem quórum qualificado, tais como projetos de lei complementar e propostas de emenda à Constituição, não há que se falar em voto de desempate, seja porque se exige a maioria absoluta no caso dos projetos de lei complementar, seja porque se exigem três quintos da composição da Casa para as propostas de emenda à Constituição, sendo, pois, impossível o empate. Nestas matérias de quórum qualificado, o Presidente toma parte na votação e não apenas para desempatar. Isso se dá sem qualquer comprometimento da equidistância que deve manter durante a condução dos trabalhos. Diante do exposto, assento que o Presidente da Câmara dos Deputados vota em igualdade de condições com seus pares nas votações de todas as matérias que exigem quórum qualificado para serem aprovadas. Nestes termos, entendo por respondida a questão de ordem.
ALICE PORTUGAL|B|BA|Sr. Presidente, no direito de recurso que tenho, eu gostaria de dizer a V.Exa. que sua alusão, sua compreensão, eu questionarei junto à Comissão de Constituição e Justiça e onde for necessário. Gostaria de dizer a V.Exa. que o § 1º do art. 17 é peremptório. Se os outros não recorreram de outras votações, as quais citadas por V.Exa. Š Henrique Eduardo Alves, Eduardo Cunha e V.Exa. Š, eu recorro, com base no art. 17, § 1º, que diz que o Presidente não poderá votar. Por isso, ele veda, ele proíbe. V.Exa. tem que agir como magistrado. Infelizmente, V.Exa. agiu como Líder do Governo.
JOSÉ MEDEIROS|PODE|MT|Ele pode, sim!
ALICE PORTUGAL|B|BA|Lamentavelmente, V.Exa. fez com que a Casa fosse influenciada, como veda o Regimento, pelo seu prestígio e pela sua popularidade na Casa. Recorro, porque houve vício procedimental, e isso não pode ocorrer mais na Câmara dos Deputados.
RODRIGO MAIA|DEM|RJ|Recolho a sua questão de ordem.
JOSÉ MEDEIROS|PODE|MT|O choro é livre.
ALCEU MOREIRA|MDB|RS|Não cabe discussão, Presidente. Não cabe discussão.
HENRIQUE FONTANA|PT|RS|Presidente, não vou falar desse tema. Presidente... (O microfone é desligado.)
